Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2019,24,129,PHO,Phoenix Suns,Deandre Ayton,1998-07-23,20.0,NBA,C,71,2183,20.5,0.61,0.0,0.22,11.1,26.1,18.5,9.6,1.3,2.6,11.7,21.2,4.1,1.7,5.8,0.13,1.3,-1.1,0.2,1.2
2020,24,129,PHO,Phoenix Suns,Deandre Ayton,1998-07-23,21.0,NBA,C,38,1236,20.0,0.57,0.02,0.16,13.0,26.3,19.6,9.7,1.0,4.1,11.6,23.7,1.5,1.6,3.1,0.12,0.8,-0.4,0.4,0.7
2021,24,129,PHO,Phoenix Suns,Deandre Ayton,1998-07-23,22.0,NBA,C,42,1278,19.4,0.63,0.04,0.25,12.5,27.5,20.3,7.6,0.6,3.3,12.9,19.3,2.8,2.1,4.9,0.18,0.2,0.0,0.2,0.7
