TEAM,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
GSW,82,242.4,42.5,87.3,0.49,13.1,31.6,0.42,29.4,55.7,0.53,16.7,21.8,0.76,10.0,36.2,46.2,28.9,8.4,6.1,15.2,20.7,114.9
OKC,82,241.8,41.1,86.4,0.48,8.3,23.7,0.35,32.9,62.6,0.52,19.7,25.2,0.78,13.1,35.6,48.6,23.0,7.4,5.9,15.9,20.6,110.2
SAC,82,241.5,40.0,86.4,0.46,8.0,22.4,0.36,32.0,64.0,0.5,18.5,25.5,0.72,10.6,33.7,44.2,24.5,8.9,4.5,16.2,20.4,106.6
HOU,82,241.8,37.7,83.5,0.45,10.7,30.9,0.35,27.0,52.6,0.51,20.4,29.4,0.69,11.3,31.7,43.1,22.2,10.0,5.2,15.9,21.8,106.5
BOS,82,241.2,39.2,89.2,0.44,8.7,26.1,0.34,30.5,63.1,0.48,18.5,23.5,0.79,11.6,33.3,44.9,24.2,9.2,4.2,13.7,21.9,105.7
POR,82,241.5,38.6,85.9,0.45,10.5,28.5,0.37,28.1,57.4,0.49,17.4,23.0,0.75,11.6,33.9,45.5,21.3,6.9,4.6,14.6,21.7,105.1
LAC,82,241.8,38.3,82.4,0.46,9.7,26.7,0.36,28.6,55.7,0.51,18.2,26.2,0.69,8.8,33.3,42.0,22.8,8.6,5.6,13.0,21.3,104.5
CLE,82,242.1,38.7,84.0,0.46,10.7,29.6,0.36,27.9,54.4,0.51,16.3,21.7,0.75,10.6,33.9,44.5,22.7,6.7,3.9,13.6,20.3,104.3
WAS,82,240.9,39.5,85.8,0.46,8.6,24.2,0.36,30.8,61.6,0.5,16.5,22.5,0.73,9.1,32.8,41.8,24.5,8.6,3.9,14.5,20.8,104.1
SAS,82,240.3,40.1,82.9,0.48,7.0,18.5,0.38,33.2,64.4,0.52,16.4,20.4,0.8,9.4,34.5,43.9,24.5,8.3,5.9,13.1,17.5,103.5
CHO,82,242.1,37.0,84.4,0.44,10.6,29.4,0.36,26.4,55.0,0.48,18.7,23.7,0.79,9.0,35.0,43.9,21.7,7.3,5.3,12.6,18.1,103.4
ALT,82,241.8,38.6,84.4,0.46,9.9,28.4,0.35,28.7,56.1,0.51,15.6,20.0,0.78,8.3,33.8,42.1,25.6,9.1,5.9,15.0,19.1,102.8
NOP,82,241.2,38.5,85.9,0.45,8.6,23.8,0.36,29.9,62.1,0.48,17.3,22.2,0.78,9.5,33.1,42.6,22.2,7.7,4.2,13.4,20.9,102.7
TOR,82,241.2,36.7,81.3,0.45,8.6,23.4,0.37,28.0,58.0,0.48,20.8,26.7,0.78,10.2,33.2,43.4,18.7,7.8,5.5,13.1,19.6,102.7
MIN,82,242.4,37.7,81.3,0.46,5.5,16.4,0.34,32.2,64.9,0.5,21.4,27.0,0.79,10.0,31.5,41.6,23.4,8.0,4.6,15.0,20.7,102.4
DAL,82,244.0,37.4,84.1,0.44,9.8,28.6,0.34,27.5,55.6,0.5,17.7,22.3,0.79,9.2,33.9,43.1,22.1,6.8,3.7,12.8,19.5,102.3
IND,82,242.4,38.3,85.2,0.45,8.1,23.0,0.35,30.2,62.1,0.49,17.4,22.8,0.76,10.3,33.9,44.2,21.2,9.0,4.8,14.9,20.0,102.2
ORL,82,242.7,39.5,86.8,0.46,7.8,22.2,0.35,31.8,64.7,0.49,15.2,20.1,0.76,10.3,33.0,43.3,23.6,8.2,5.1,14.1,20.7,102.1
DET,82,242.4,37.9,86.4,0.44,9.0,26.2,0.34,28.9,60.2,0.48,17.1,25.5,0.67,12.5,33.9,46.3,19.4,7.0,3.7,13.5,19.0,102.0
DEN,82,241.8,37.7,85.4,0.44,8.0,23.7,0.34,29.7,61.7,0.48,18.5,24.1,0.77,11.5,33.1,44.6,22.7,7.4,4.8,14.7,21.0,101.9
CHI,82,242.7,38.6,87.4,0.44,7.9,21.4,0.37,30.7,66.1,0.46,16.5,21.0,0.79,11.1,35.2,46.3,22.8,6.0,5.7,13.9,18.8,101.6
PHO,82,240.3,37.2,85.6,0.44,9.0,25.8,0.35,28.2,59.8,0.47,17.5,23.2,0.75,11.5,33.3,44.8,20.7,7.7,3.8,17.2,22.7,100.9
MIA,82,241.8,38.4,81.7,0.47,6.1,18.0,0.34,32.3,63.6,0.51,17.1,23.0,0.74,9.8,34.3,44.1,20.8,6.7,6.5,14.1,18.3,100.0
MEM,82,241.8,36.8,83.6,0.44,6.1,18.5,0.33,30.7,65.1,0.47,19.3,24.7,0.78,11.2,30.5,41.6,20.7,8.8,4.3,13.3,21.7,99.1
MIL,82,241.8,38.4,82.2,0.47,5.4,15.6,0.34,33.0,66.6,0.5,17.0,22.7,0.75,10.5,31.2,41.7,23.1,8.2,5.8,15.2,20.7,99.0
BRK,82,240.9,38.2,84.4,0.45,6.5,18.4,0.35,31.8,66.0,0.48,15.7,20.7,0.76,10.5,31.9,42.4,22.3,7.6,4.0,14.8,18.0,98.6
NYK,82,241.5,36.9,84.0,0.44,7.4,21.5,0.35,29.4,62.5,0.47,17.2,21.4,0.8,10.4,34.0,44.4,20.5,5.7,5.7,13.4,19.7,98.4
UTA,82,243.4,36.1,80.4,0.45,8.5,23.9,0.36,27.6,56.5,0.49,17.1,23.0,0.74,10.7,32.5,43.2,19.0,7.7,5.2,14.9,20.2,97.7
PHI,82,241.5,36.2,84.0,0.43,9.3,27.5,0.34,26.9,56.5,0.48,15.7,22.6,0.69,9.5,31.8,41.2,21.5,8.3,6.0,16.4,21.7,97.4
LAL,82,240.6,35.1,84.8,0.41,7.8,24.6,0.32,27.3,60.2,0.45,19.3,24.7,0.78,10.7,32.3,43.0,18.0,7.2,4.1,13.7,20.3,97.3
