TEAM,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
GSW,82,241.2,43.1,87.1,0.5,12.0,31.2,0.38,31.1,55.8,0.56,17.8,22.6,0.79,9.4,35.0,44.4,30.4,9.6,6.8,14.8,19.3,115.9
HOU,82,241.2,40.3,87.2,0.46,14.4,40.3,0.36,25.9,46.9,0.55,20.3,26.5,0.77,10.9,33.5,44.4,25.2,8.2,4.3,15.1,19.9,115.3
DEN,82,240.9,41.2,87.7,0.47,10.6,28.8,0.37,30.6,58.9,0.52,18.7,24.2,0.77,11.8,34.6,46.4,25.3,6.9,3.9,15.0,19.1,111.7
CLE,82,242.4,39.9,84.9,0.47,13.0,33.9,0.38,26.9,51.0,0.53,17.5,23.3,0.75,9.3,34.4,43.7,22.7,6.6,4.0,13.7,18.1,110.3
WAS,82,242.1,41.3,87.0,0.48,9.2,24.8,0.37,32.1,62.3,0.52,17.3,22.1,0.78,10.3,32.6,42.9,23.9,8.5,4.1,14.2,21.3,109.2
LAC,82,240.9,39.5,83.2,0.48,10.3,27.4,0.38,29.3,55.8,0.52,19.3,26.0,0.74,9.0,34.0,43.0,22.5,7.5,4.2,13.0,19.8,108.7
BOS,82,240.9,38.6,85.1,0.45,12.0,33.4,0.36,26.6,51.7,0.52,18.7,23.2,0.81,9.1,32.9,42.0,25.2,7.5,4.1,13.3,20.6,108.0
POR,82,243.0,39.5,86.1,0.46,10.4,27.7,0.38,29.2,58.4,0.5,18.5,23.7,0.78,10.1,33.5,43.7,21.1,7.0,5.0,13.7,21.2,107.9
PHO,82,241.8,39.9,88.5,0.45,7.5,22.6,0.33,32.4,65.9,0.49,20.4,26.3,0.78,11.9,33.1,45.0,19.6,8.2,4.9,15.4,24.8,107.7
TOR,82,241.2,39.2,84.4,0.46,8.8,24.3,0.36,30.3,60.0,0.5,19.7,24.7,0.8,10.6,32.6,43.3,18.5,8.3,4.9,12.7,20.8,106.9
OKC,82,241.5,39.5,87.4,0.45,8.4,25.8,0.33,31.0,61.6,0.5,19.2,25.8,0.74,12.2,34.4,46.6,21.0,7.9,5.0,15.0,20.9,106.6
