SEASON,TEAM ID,TEAM,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1994,24,PHO,82,240.3,41.8,86.3,0.48,4.2,12.7,0.33,37.6,73.6,0.51,20.4,28.1,0.73,14.9,29.9,44.8,27.6,9.1,5.6,15.9,20.0,108.2
1994,10,GSW,82,241.2,42.8,87.1,0.49,3.5,10.5,0.34,39.3,76.7,0.51,18.6,28.1,0.66,14.4,29.2,43.6,26.8,9.8,6.2,17.5,21.8,107.9
1994,25,POR,82,240.9,41.1,90.6,0.45,3.3,9.4,0.35,37.8,81.2,0.47,21.7,29.2,0.74,15.9,30.0,45.9,25.2,9.1,5.0,14.8,22.3,107.3
1994,4,CHO,82,241.8,41.2,86.6,0.48,4.1,11.2,0.37,37.1,75.4,0.49,19.9,26.0,0.76,12.4,30.2,42.6,27.0,8.8,4.8,15.4,21.3,106.5
1994,21,SEA,82,240.6,40.7,84.2,0.48,3.0,8.8,0.34,37.8,75.4,0.5,21.6,29.0,0.74,14.0,27.2,41.2,25.8,12.8,4.5,15.4,23.3,105.9
1994,22,ORL,82,240.6,40.7,83.9,0.48,4.8,13.9,0.35,35.9,70.1,0.51,19.4,28.6,0.68,14.4,28.7,43.1,25.2,8.3,5.6,16.2,20.9,105.7
1994,16,MIA,82,241.5,39.0,84.1,0.46,4.1,12.2,0.34,34.9,71.9,0.48,21.3,27.1,0.78,15.1,29.4,44.4,22.6,7.8,4.6,16.0,24.7,103.4
1994,3,NJN,82,241.8,38.6,86.8,0.44,2.7,8.3,0.33,35.9,78.4,0.46,23.2,30.4,0.76,15.9,31.2,47.0,23.2,8.5,7.0,14.6,20.6,103.2
1994,13,LAC,82,241.2,40.8,87.4,0.47,3.1,10.1,0.3,37.7,77.2,0.49,18.4,26.0,0.71,13.7,29.4,43.0,26.5,9.8,5.1,18.0,21.6,103.0
1994,29,UTA,82,241.8,39.1,82.1,0.48,2.2,6.8,0.32,36.9,75.2,0.49,21.5,29.0,0.74,12.9,29.1,42.0,26.6,9.2,4.4,14.5,24.2,101.9
1994,1,ALT,82,240.9,39.6,85.8,0.46,3.3,10.1,0.32,36.3,75.7,0.48,19.0,25.2,0.75,15.2,29.5,44.8,25.1,11.2,5.5,15.3,19.8,101.4
1994,6,CLE,82,242.1,38.2,82.1,0.46,3.6,9.9,0.36,34.6,72.2,0.48,21.2,27.5,0.77,13.3,28.7,42.0,25.0,8.6,5.2,13.9,20.7,101.2
1994,11,HOU,82,241.2,39.0,82.1,0.48,5.2,15.7,0.33,33.8,66.4,0.51,17.9,24.1,0.74,11.3,31.9,43.2,25.5,8.7,5.9,16.3,20.1,101.1
1994,26,SAC,82,240.9,38.8,85.7,0.45,3.1,8.9,0.35,35.6,76.8,0.46,20.4,28.0,0.73,13.7,28.6,42.3,24.7,8.2,4.3,16.3,24.1,101.1
1994,12,IND,82,240.9,38.6,79.5,0.49,2.2,6.1,0.37,36.4,73.4,0.5,21.5,29.1,0.74,13.8,29.4,43.2,25.1,8.6,5.6,17.6,24.1,101.0
1994,2,BOS,82,242.7,40.6,86.1,0.47,1.7,5.8,0.29,39.0,80.2,0.49,17.8,24.4,0.73,12.6,29.0,41.7,23.5,8.2,5.4,15.1,22.5,100.8
1994,14,LAL,82,240.9,40.1,89.2,0.45,2.9,9.8,0.3,37.2,79.4,0.47,17.2,24.0,0.72,15.4,26.9,42.2,24.2,9.2,5.6,14.6,22.9,100.4
1994,30,WAB,82,240.3,39.0,83.2,0.47,2.7,9.1,0.3,36.3,74.2,0.49,19.7,26.4,0.75,13.1,26.7,39.8,22.2,8.5,3.9,17.1,20.9,100.4
1994,8,DEN,82,240.9,38.5,82.7,0.46,2.1,7.3,0.28,36.4,75.4,0.48,21.2,29.5,0.72,13.5,31.2,44.7,21.5,8.3,8.4,17.3,23.5,100.3
1994,27,SAS,82,241.2,38.8,81.6,0.48,3.0,8.7,0.35,35.7,72.9,0.49,19.5,26.2,0.74,14.5,31.7,46.2,23.1,6.8,5.5,14.6,20.3,100.0
1994,20,NYK,82,240.9,37.8,82.1,0.46,3.9,11.1,0.35,33.9,71.1,0.48,19.1,25.6,0.75,14.3,31.0,45.3,25.2,9.2,4.7,16.6,24.4,98.5
1994,23,PHI,82,241.5,37.8,83.2,0.46,3.9,11.5,0.34,34.0,71.7,0.47,18.4,25.8,0.71,12.3,29.2,41.5,22.3,8.1,6.4,16.7,18.1,98.0
1994,5,CHI,82,241.2,39.6,83.1,0.48,2.8,8.0,0.35,36.7,75.1,0.49,16.0,22.7,0.7,13.9,29.2,43.1,25.6,9.0,4.3,15.9,21.3,98.0
1994,17,MIL,82,240.3,37.1,83.0,0.45,4.0,12.4,0.32,33.1,70.6,0.47,18.7,26.6,0.7,13.7,26.3,40.0,23.7,9.8,5.0,16.4,22.2,96.9
1994,9,DET,82,240.6,38.6,85.6,0.45,4.4,12.7,0.34,34.3,72.9,0.47,15.3,20.9,0.73,12.5,28.3,40.8,21.5,7.3,3.8,15.1,23.6,96.9
1994,18,MIN,82,240.6,36.4,79.7,0.46,2.2,6.8,0.33,34.2,72.9,0.47,21.7,28.1,0.77,12.1,28.6,40.6,24.0,7.3,5.4,18.0,24.6,96.7
1994,7,DAL,82,240.6,37.3,86.2,0.43,2.9,9.4,0.31,34.3,76.8,0.45,17.7,23.7,0.75,15.5,26.2,41.7,19.9,9.4,3.6,17.0,24.5,95.1
