TEAM,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
DAL,75,242.3,41.7,90.3,0.46,15.1,41.3,0.37,26.5,49.0,0.54,18.6,23.8,0.78,10.5,36.4,46.9,24.7,6.1,4.8,12.7,19.5,117.0
MIL,73,241.0,43.3,90.9,0.48,13.8,38.9,0.36,29.5,52.0,0.57,18.3,24.7,0.74,9.5,42.2,51.7,25.9,7.2,5.9,15.1,19.6,118.7
POR,74,241.0,42.2,91.2,0.46,12.9,34.1,0.38,29.3,57.1,0.51,17.7,22.1,0.8,10.2,35.1,45.3,20.6,6.3,6.1,12.8,21.7,115.0
HOU,72,241.4,40.8,90.4,0.45,15.6,45.3,0.34,25.1,45.2,0.56,20.6,26.1,0.79,9.8,34.5,44.3,21.6,8.7,5.2,14.7,21.8,117.8
LAC,72,241.4,41.6,89.2,0.47,12.4,33.5,0.37,29.1,55.8,0.52,20.8,26.3,0.79,10.7,37.0,47.7,23.7,7.1,4.7,14.6,22.1,116.3
NOP,72,242.1,42.6,91.6,0.46,13.6,36.9,0.37,28.9,54.8,0.53,17.1,23.4,0.73,11.1,35.4,46.5,26.8,7.5,5.0,16.4,21.2,115.8
PHO,73,241.0,41.2,88.1,0.47,11.4,31.8,0.36,29.8,56.3,0.53,19.9,23.8,0.83,9.8,33.8,43.5,27.2,7.7,4.0,14.8,22.0,113.6
WAS,72,241.0,41.5,90.9,0.46,12.0,32.6,0.37,29.5,58.3,0.51,19.4,24.6,0.79,10.2,31.9,42.0,25.0,8.0,4.3,14.2,22.7,114.4
MEM,73,240.7,42.5,90.9,0.47,10.9,31.5,0.35,31.6,59.4,0.53,16.6,21.8,0.76,10.3,36.2,46.5,26.9,7.9,5.5,15.2,21.2,112.6
BOS,72,242.1,41.3,89.6,0.46,12.6,34.5,0.36,28.7,55.0,0.52,18.6,23.2,0.8,10.7,35.4,46.1,23.0,8.3,5.6,13.8,21.6,113.7
MIA,73,243.1,39.5,84.4,0.47,13.4,35.4,0.38,26.0,49.0,0.53,19.7,25.2,0.78,8.5,35.9,44.4,25.9,7.5,4.5,14.9,20.6,112.0
DEN,73,243.1,42.0,88.9,0.47,11.0,30.6,0.36,31.1,58.3,0.53,16.2,20.9,0.78,10.8,33.4,44.1,26.7,8.0,4.6,13.8,20.3,111.3
TOR,72,241.4,40.2,87.9,0.46,13.8,37.0,0.37,26.4,50.9,0.52,18.5,23.2,0.8,9.5,35.9,45.4,25.2,8.8,5.0,14.8,21.7,112.8
SAS,71,242.5,42.2,89.4,0.47,10.7,28.5,0.38,31.5,61.0,0.52,19.0,23.4,0.81,9.0,35.6,44.6,24.7,7.3,5.5,12.6,19.4,114.1
PHI,73,241.0,41.1,87.9,0.47,11.6,31.6,0.37,29.5,56.3,0.52,16.9,22.4,0.76,10.5,35.0,45.4,25.8,8.0,5.3,14.2,20.9,110.7
LAL,71,240.7,42.3,88.3,0.48,11.0,31.6,0.35,31.3,56.7,0.55,17.7,24.3,0.73,10.7,35.1,45.7,25.4,8.6,6.6,15.2,20.7,113.4
BRK,72,242.8,40.4,90.3,0.45,13.1,38.1,0.34,27.3,52.1,0.52,17.9,24.1,0.74,10.6,37.3,47.9,24.5,6.4,4.5,15.3,21.0,111.8
UTA,72,241.0,40.1,85.1,0.47,13.4,35.2,0.38,26.7,49.9,0.54,17.8,22.8,0.78,9.1,35.8,44.9,22.4,6.1,4.1,15.1,20.4,111.3
IND,73,241.4,42.1,88.5,0.48,10.2,28.0,0.36,31.9,60.4,0.53,15.0,19.1,0.79,8.7,34.1,42.8,25.9,7.4,5.2,13.2,19.8,109.4
OKC,72,242.1,40.0,85.5,0.47,10.7,30.2,0.36,29.3,55.3,0.53,19.8,24.8,0.8,8.2,34.7,42.9,21.7,7.6,4.9,13.7,19.3,110.4
SAC,72,242.4,40.9,88.4,0.46,12.7,34.9,0.36,28.2,53.5,0.53,15.7,20.3,0.77,9.7,32.9,42.6,23.8,7.7,4.1,14.5,22.2,110.1
ORL,73,240.7,39.3,88.6,0.44,11.1,32.2,0.34,28.3,56.4,0.5,17.6,22.7,0.77,10.3,34.2,44.5,23.9,8.2,5.4,12.8,18.3,107.3
ALT,67,243.0,40.6,90.6,0.45,12.0,36.1,0.33,28.6,54.5,0.52,18.5,23.4,0.79,9.9,33.4,43.3,24.0,7.8,5.1,16.2,23.1,111.8
MIN,64,243.1,40.4,91.6,0.44,13.3,39.7,0.34,27.1,52.0,0.52,19.1,25.4,0.75,10.5,34.3,44.8,23.8,8.7,5.7,15.3,21.4,113.3
DET,66,241.9,39.3,85.7,0.46,12.0,32.7,0.37,27.3,53.0,0.52,16.6,22.4,0.74,9.8,32.0,41.7,24.1,7.4,4.5,15.3,19.7,107.2
NYK,66,241.9,40.0,89.3,0.45,9.6,28.4,0.34,30.4,61.0,0.5,16.3,23.5,0.69,12.0,34.5,46.5,22.1,7.6,4.7,14.3,22.2,105.8
CLE,65,241.9,40.3,87.9,0.46,11.2,31.8,0.35,29.1,56.1,0.52,15.1,19.9,0.76,10.8,33.4,44.2,23.1,6.9,3.2,16.5,18.3,106.9
CHI,65,241.2,39.6,88.6,0.45,12.2,35.1,0.35,27.4,53.5,0.51,15.5,20.5,0.76,10.5,31.4,41.9,23.2,10.0,4.1,15.5,21.8,106.8
GSW,65,241.9,38.6,88.2,0.44,10.4,31.3,0.33,28.2,56.9,0.5,18.7,23.2,0.8,10.0,32.9,42.8,25.6,8.2,4.6,14.9,20.1,106.3
CHO,65,242.3,37.3,85.9,0.43,12.1,34.3,0.35,25.2,51.6,0.49,16.2,21.6,0.75,11.0,31.8,42.8,23.8,6.6,4.1,14.6,18.8,102.9
