TEAM,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
SAC,82,244.9,38.2,85.0,0.45,5.8,16.5,0.35,32.4,68.5,0.47,19.5,25.3,0.77,12.0,33.0,45.0,22.6,9.7,5.3,14.9,19.5,101.7
MIL,82,241.2,38.0,82.9,0.46,6.9,18.1,0.38,31.1,64.8,0.48,18.0,22.9,0.79,11.9,30.5,42.4,22.5,8.2,4.7,13.7,23.5,100.7
LAL,82,242.7,37.9,81.5,0.46,5.4,15.5,0.34,32.6,66.0,0.49,19.4,28.5,0.68,13.2,31.5,44.7,23.0,6.9,6.0,14.4,22.8,100.6
DAL,82,241.5,37.6,81.9,0.46,6.3,16.5,0.38,31.3,65.4,0.48,18.9,23.8,0.79,10.1,31.4,41.5,21.2,7.5,6.0,13.9,23.3,100.5
TOR,82,243.4,37.2,85.0,0.44,5.2,14.2,0.37,31.9,70.8,0.45,18.1,24.2,0.75,13.6,30.8,44.5,24.4,7.3,6.3,13.2,21.3,97.6
ORL,82,243.4,36.7,83.8,0.44,6.0,16.4,0.36,30.8,67.4,0.46,18.0,25.2,0.71,13.0,29.9,42.9,22.0,8.2,5.9,15.2,25.3,97.5
MIN,82,241.8,38.4,83.8,0.46,3.9,11.0,0.36,34.5,72.8,0.47,16.6,21.2,0.78,12.2,30.1,42.3,25.4,8.3,5.6,13.9,23.2,97.3
SEA,82,241.5,36.9,81.1,0.46,5.7,14.3,0.4,31.3,66.8,0.47,17.7,24.2,0.73,12.2,29.5,41.7,21.9,8.0,5.0,15.3,21.1,97.3
HOU,82,241.8,35.9,79.2,0.45,6.1,17.2,0.36,29.7,62.0,0.48,19.3,25.4,0.76,11.2,30.8,42.0,19.7,7.2,4.4,14.7,20.2,97.2
UTA,82,241.2,36.1,76.7,0.47,4.0,10.4,0.38,32.1,66.3,0.48,20.9,27.8,0.75,11.5,29.1,40.6,25.7,8.1,5.6,15.8,25.7,97.1
DEN,82,241.2,36.3,83.9,0.43,6.2,17.6,0.36,30.1,66.3,0.45,17.7,24.0,0.74,12.7,31.5,44.2,24.0,6.7,6.6,13.9,22.2,96.6
SAS,82,241.8,35.2,76.4,0.46,5.4,13.3,0.41,29.7,63.0,0.47,20.4,28.5,0.72,11.0,33.1,44.1,21.7,6.9,7.0,14.0,18.9,96.2
