TEAM,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
DEN,66,243.0,39.0,81.9,0.48,6.6,19.9,0.33,32.4,62.0,0.52,19.6,26.7,0.74,11.2,31.9,43.1,24.0,8.2,5.0,15.4,19.7,104.1
SAS,66,241.5,39.6,82.8,0.48,8.4,21.3,0.39,31.2,61.5,0.51,16.2,21.6,0.75,10.3,32.6,43.0,23.2,7.4,4.4,13.6,17.3,103.7
OKC,66,242.3,37.3,79.2,0.47,7.2,20.0,0.36,30.2,59.3,0.51,21.3,26.4,0.81,11.0,32.7,43.7,18.5,7.5,8.2,16.3,20.5,103.1
UTA,66,244.9,38.2,83.8,0.46,4.1,12.8,0.32,34.1,71.0,0.48,19.1,25.3,0.75,13.0,31.1,44.2,21.8,8.3,5.8,14.2,21.8,99.7
MIL,66,240.4,37.9,85.6,0.44,6.6,19.2,0.34,31.3,66.5,0.47,16.6,21.4,0.77,12.4,30.0,42.5,23.5,8.3,5.1,14.1,19.3,99.0
SAC,66,241.1,37.7,86.5,0.44,6.2,19.7,0.32,31.5,66.8,0.47,17.1,23.2,0.74,13.4,29.5,42.9,19.3,8.5,4.9,14.4,19.5,98.8
MIA,66,243.0,37.1,79.0,0.47,5.6,15.6,0.36,31.5,63.4,0.5,18.8,24.2,0.78,10.4,31.2,41.6,20.0,8.9,5.4,15.2,19.4,98.5
PHO,66,240.0,37.8,82.5,0.46,6.7,19.6,0.34,31.1,62.9,0.49,16.0,21.2,0.76,10.9,30.8,41.7,22.5,6.5,5.5,14.1,18.7,98.4
HOU,66,243.4,37.7,84.0,0.45,7.2,20.2,0.36,30.5,63.8,0.48,15.4,19.7,0.78,11.7,30.5,42.2,21.3,7.5,4.8,14.5,20.4,98.1
MIN,66,241.5,35.7,82.3,0.43,7.2,21.6,0.33,28.5,60.8,0.47,19.4,25.2,0.77,12.1,31.7,43.7,19.5,6.6,4.4,15.2,18.4,97.9
NYK,66,241.5,35.8,80.8,0.44,7.8,23.3,0.34,28.0,57.5,0.49,18.3,24.8,0.74,11.3,30.5,41.7,20.1,9.4,4.2,16.0,21.1,97.8
GSW,66,241.1,37.7,82.5,0.46,7.9,20.5,0.39,29.8,62.0,0.48,14.4,18.7,0.77,9.7,29.5,39.2,22.3,8.0,5.5,13.9,21.4,97.8
IND,66,242.3,35.7,81.4,0.44,5.9,16.1,0.37,29.7,65.3,0.46,20.4,26.1,0.78,12.5,31.4,43.9,18.6,7.9,5.4,14.0,21.7,97.7
LAC,66,241.9,37.0,81.3,0.46,7.8,21.8,0.36,29.2,59.5,0.49,15.8,23.3,0.68,12.1,29.4,41.6,21.0,8.4,4.8,13.3,21.2,97.5
LAL,66,243.4,36.8,80.6,0.46,5.5,16.8,0.33,31.3,63.7,0.49,18.2,24.1,0.76,12.1,34.1,46.2,22.5,5.9,5.3,15.1,16.8,97.3
POR,66,241.9,36.4,82.1,0.44,7.2,20.9,0.35,29.2,61.1,0.48,17.2,21.6,0.8,11.1,29.5,40.7,20.4,8.0,4.9,14.2,19.0,97.2
ALT,66,244.9,36.8,81.0,0.45,7.5,20.2,0.37,29.3,60.9,0.48,15.5,21.0,0.74,9.9,31.3,41.2,22.4,8.1,4.6,14.0,17.8,96.6
CHI,66,241.5,37.4,82.8,0.45,6.3,16.9,0.38,31.0,65.8,0.47,15.2,21.1,0.72,13.9,32.8,46.7,23.1,6.9,5.9,14.0,17.3,96.3
DAL,66,243.4,36.3,82.0,0.44,7.5,22.2,0.34,28.8,59.8,0.48,15.6,20.2,0.77,10.1,32.7,42.8,20.9,8.6,5.1,14.0,18.6,95.8
MEM,66,241.5,36.7,82.2,0.45,4.2,12.9,0.33,32.5,69.3,0.47,17.3,22.8,0.76,12.6,29.5,42.0,19.5,9.6,5.2,14.5,19.9,95.0
ORL,66,241.9,34.5,78.2,0.44,10.2,27.0,0.38,24.3,51.2,0.48,15.1,22.8,0.66,11.2,31.2,42.5,20.0,6.8,4.2,14.9,17.7,94.2
