Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
2006,14,2919,LAL,Los Angeles Lakers,Ronny Turiaf,"January 13, 1983",23.0,NBA,C,23.0,1.0,161.0,4.9,9.8,0.5,0.0,0.0,,4.9,9.8,0.5,4.9,8.9,0.56,3.6,8.5,12.1,2.6,1.0,3.3,2.3,9.8,14.8,,109.0,103.0
2007,14,2919,LAL,Los Angeles Lakers,Ronny Turiaf,"January 13, 1983",24.0,NBA,C,72.0,1.0,1087.0,6.9,12.7,0.55,0.0,0.0,0.0,6.9,12.6,0.55,4.2,6.3,0.66,4.2,8.1,12.2,3.0,0.8,3.7,2.5,9.5,18.1,,116.0,106.0
2008,14,2919,LAL,Los Angeles Lakers,Ronny Turiaf,"January 13, 1983",25.0,NBA,C,78.0,21.0,1458.0,6.5,13.7,0.47,0.0,0.0,0.0,6.5,13.6,0.48,4.8,6.4,0.75,3.3,7.3,10.5,4.4,1.0,3.7,2.5,6.9,17.8,,112.0,104.0
2009,10,2919,GSW,Golden State Warriors,Ronny Turiaf,"January 13, 1983",26.0,NBA,C,79.0,26.0,1696.0,5.4,10.6,0.51,0.0,0.1,0.0,5.4,10.5,0.51,2.8,3.6,0.79,2.5,7.8,10.4,4.8,1.0,4.8,2.0,7.0,13.5,,116.0,110.0
2010,10,2919,GSW,Golden State Warriors,Ronny Turiaf,"January 13, 1983",27.0,NBA,C,42.0,20.0,872.0,4.7,8.0,0.58,0.0,0.1,0.0,4.7,8.0,0.59,2.0,4.3,0.47,3.0,7.5,10.5,4.9,1.3,3.0,2.7,5.4,11.4,,110.0,110.0
2011,20,2919,NYK,New York Knicks,Ronny Turiaf,"January 13, 1983",28.0,NBA,C,64.0,21.0,1141.0,4.5,7.2,0.63,0.0,0.0,,4.5,7.2,0.63,2.7,4.3,0.62,2.8,6.3,9.1,4.0,1.5,3.2,1.8,7.0,11.8,,127.0,108.0
2012,31,2919,TOT,Total After Trade,Ronny Turiaf,"January 13, 1983",29.0,NBA,C,17.0,5.0,279.0,3.6,6.2,0.58,0.0,0.2,0.0,3.6,6.0,0.59,2.4,4.1,0.59,3.8,9.4,13.2,1.9,2.6,3.2,2.6,7.3,9.6,,107.0,96.0
2012,30,2919,WAS,Washington Wizards,Ronny Turiaf,"January 13, 1983",29.0,NBA,C,4.0,0.0,58.0,2.7,2.7,1.0,0.0,0.0,,2.7,2.7,1.0,0.0,0.0,,0.9,9.8,10.7,4.5,5.4,2.7,5.4,6.3,5.4,,76.0,95.0
2012,16,2919,MIA,Miami Heat,Ronny Turiaf,"January 13, 1983",29.0,NBA,C,13.0,5.0,221.0,3.8,7.1,0.53,0.0,0.2,0.0,3.8,6.9,0.55,3.1,5.2,0.59,4.5,9.3,13.8,1.2,1.9,3.3,1.9,7.6,10.7,,114.0,96.0
2013,13,2919,LAC,Los Angeles Clippers,Ronny Turiaf,"January 13, 1983",30.0,NBA,C,65.0,0.0,701.0,3.7,7.3,0.5,0.0,0.0,,3.7,7.3,0.5,1.7,4.7,0.36,3.4,8.0,11.4,2.6,1.4,2.6,2.2,6.0,9.1,,99.0,103.0
2014,18,2919,MIN,Minnesota Timberwolves,Ronny Turiaf,"January 13, 1983",31.0,NBA,C,31.0,10.0,606.0,5.2,8.7,0.6,0.0,0.0,,5.2,8.7,0.6,1.7,4.1,0.42,4.5,9.7,14.2,2.0,0.7,4.1,2.0,5.3,12.1,,113.0,103.0
2015,18,2919,MIN,Minnesota Timberwolves,Ronny Turiaf,"January 13, 1983",32.0,NBA,C,2.0,0.0,19.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,2.7,2.7,5.4,0.0,0.0,0.0,0.0,0.0,,214.0,119.0
