Season,Team ID,Player ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
2004,21,54,SEA,Seattle Supersonics,34,Ray Allen,SG,6-5,205,"July 20, 1975",US,7,UConn
2004,21,174,SEA,Seattle Supersonics,31,Brent Barry,SG,6-6,185,"December 31, 1971",US,8,Oregon State
2004,21,297,SEA,Seattle Supersonics,52,Calvin Booth,C,6-11,230,"May 7, 1976",US,4,Penn State
2004,21,663,SEA,Seattle Supersonics,33,Antonio Daniels,PG,6-4,195,"March 19, 1975",US,6,Bowling Green
2004,21,880,SEA,Seattle Supersonics,30,Reggie Evans,PF,6-8,245,"May 18, 1980",US,1,Iowa
2004,21,954,SEA,Seattle Supersonics,24,Richie Frahm,SF,6-5,210,"August 14, 1977",US,R,Gonzaga
2004,21,1427,SEA,Seattle Supersonics,13,Jerome James,C,7-0,300,"November 17, 1975",US,3,Florida A&M
2004,21,1748,SEA,Seattle Supersonics,7,Rashard Lewis,SF,6-10,215,"August 8, 1979",US,5,
2004,21,2093,SEA,Seattle Supersonics,22,Ronald Murray,PG,6-4,190,"July 29, 1979",US,1,"Meridian Community College, Shaw"
2004,21,2349,SEA,Seattle Supersonics,9,Vitaly Potapenko,C,6-10,280,"March 21, 1975",UA,7,Wright State University
2004,21,2385,SEA,Seattle Supersonics,77,Vladimir Radmanovic,PF,6-10,227,"November 19, 1980",BA,2,
2004,21,2452,SEA,Seattle Supersonics,8,Luke Ridnour,PG,6-2,175,"February 13, 1981",US,R,Oregon
2004,21,2600,SEA,Seattle Supersonics,5,Ansu Sesay,SF,6-9,225,"July 29, 1976",US,2,Ole Miss
2004,21,2694,SEA,Seattle Supersonics,35,Leon Smith,C,6-10,235,"November 2, 1980",US,1,
