Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2007,1,3179,ATL,Atlanta Hawks,23.0,NBA,PF,81.0,1514.0,12.3,0.52,0.01,0.4,10.3,24.5,17.3,4.8,1.8,2.0,18.3,15.9,0.3,1.9,2.2,0.07,-2.9,-0.4,-3.3,-0.5
2008,31,3179,TOT,Total After Trade,24.0,NBA,PF,64.0,776.0,11.9,0.49,0.01,0.5,10.4,20.5,15.5,3.8,1.5,2.1,11.9,17.0,0.4,0.8,1.2,0.07,-2.7,-0.7,-3.5,-0.3
2008,1,3179,ATL,Atlanta Hawks,24.0,NBA,PF,36.0,414.0,9.8,0.44,0.01,0.51,9.6,20.5,15.1,4.0,1.7,2.0,10.3,14.9,0.0,0.5,0.5,0.06,-3.6,0.1,-3.5,-0.2
2008,26,3179,SAC,Sacramento Kings,24.0,NBA,PF,28.0,362.0,14.2,0.54,0.01,0.48,11.3,20.5,16.0,3.6,1.3,2.1,13.4,19.4,0.3,0.3,0.7,0.09,-1.7,-1.7,-3.4,-0.1
2009,31,3179,TOT,Total After Trade,25.0,NBA,PF,45.0,512.0,13.7,0.5,0.01,0.4,10.9,24.3,17.5,3.8,2.2,2.7,15.5,19.2,0.0,0.5,0.5,0.05,-2.8,-0.8,-3.5,-0.2
2009,26,3179,SAC,Sacramento Kings,25.0,NBA,PF,30.0,305.0,12.2,0.52,0.02,0.47,9.5,20.4,14.9,4.2,2.0,2.4,19.5,19.6,-0.1,0.2,0.1,0.01,-3.2,-1.6,-4.8,-0.2
2009,18,3179,MIN,Minnesota Timberwolves,25.0,NBA,PF,15.0,207.0,16.0,0.48,0.0,0.31,13.1,30.0,21.2,3.2,2.5,3.0,9.4,18.6,0.1,0.3,0.4,0.1,-2.2,0.5,-1.7,0.0
2010,2,3179,BOS,Boston Celtics,26.0,NBA,PF,54.0,597.0,14.1,0.61,0.01,0.81,9.9,19.8,15.0,5.3,1.1,2.8,15.5,15.3,1.1,0.9,2.0,0.16,-2.0,0.6,-1.4,0.1
2011,31,3179,TOT,Total After Trade,27.0,NBA,PF,59.0,911.0,12.3,0.52,0.0,0.34,12.0,22.3,17.3,5.1,1.3,2.1,14.5,14.5,0.9,1.1,1.9,0.1,-2.3,-0.4,-2.7,-0.2
2011,8,3179,DEN,Denver Nuggets,27.0,NBA,PF,42.0,713.0,11.3,0.49,0.0,0.25,12.3,23.4,18.0,3.9,1.3,2.3,15.5,14.9,0.2,0.9,1.2,0.08,-2.8,-0.3,-3.1,-0.2
2011,20,3179,NYK,New York Knicks,27.0,NBA,PF,17.0,198.0,15.9,0.64,0.0,0.74,10.9,18.0,14.4,9.5,1.3,1.5,10.4,13.0,0.6,0.1,0.8,0.19,-0.7,-0.8,-1.5,0.0
2012,3,3179,NJN,New Jersey Nets,28.0,NBA,C,58.0,1276.0,11.9,0.54,0.0,0.52,12.5,19.6,15.9,4.3,2.0,2.3,21.1,11.2,1.1,1.0,2.1,0.08,-2.7,-0.6,-3.3,-0.4
