Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
2003,6,299,CLE,Cleveland Cavaliers,Carlos Boozer,"November 20, 1981",21.0,NBA,PF,81.0,54.0,2049.0,331.0,618.0,0.54,0.0,1.0,0.0,331.0,617.0,0.54,0.54,148.0,192.0,0.77,202.0,407.0,609.0,106.0,59.0,50.0,103.0,224.0,810.0,,0.0
2004,6,299,CLE,Cleveland Cavaliers,Carlos Boozer,"November 20, 1981",22.0,NBA,PF,75.0,75.0,2592.0,471.0,900.0,0.52,1.0,6.0,0.17,470.0,894.0,0.53,0.52,219.0,285.0,0.77,230.0,627.0,857.0,148.0,74.0,55.0,134.0,199.0,1162.0,,0.0
2005,29,299,UTA,Utah Jazz,Carlos Boozer,"November 20, 1981",23.0,NBA,PF,51.0,51.0,1772.0,361.0,693.0,0.52,0.0,1.0,0.0,361.0,692.0,0.52,0.52,187.0,268.0,0.7,141.0,316.0,457.0,144.0,41.0,24.0,137.0,179.0,909.0,,0.0
2006,29,299,UTA,Utah Jazz,Carlos Boozer,"November 20, 1981",24.0,NBA,PF,33.0,19.0,1025.0,219.0,399.0,0.55,0.0,0.0,,219.0,399.0,0.55,0.55,99.0,137.0,0.72,73.0,212.0,285.0,88.0,30.0,8.0,69.0,105.0,537.0,,0.0
2007,29,299,UTA,Utah Jazz,Carlos Boozer,"November 20, 1981",25.0,NBA,PF,74.0,74.0,2557.0,647.0,1154.0,0.56,0.0,0.0,,647.0,1154.0,0.56,0.56,255.0,372.0,0.68,235.0,632.0,867.0,221.0,70.0,21.0,194.0,217.0,1549.0,,0.0
2008,29,299,UTA,Utah Jazz,Carlos Boozer,"November 20, 1981",26.0,NBA,PF,81.0,81.0,2827.0,709.0,1297.0,0.55,0.0,1.0,0.0,709.0,1296.0,0.55,0.55,290.0,393.0,0.74,197.0,647.0,844.0,233.0,100.0,41.0,210.0,293.0,1708.0,,1.0
2009,29,299,UTA,Utah Jazz,Carlos Boozer,"November 20, 1981",27.0,NBA,PF,37.0,37.0,1197.0,251.0,512.0,0.49,0.0,0.0,,251.0,512.0,0.49,0.49,97.0,139.0,0.7,111.0,274.0,385.0,79.0,39.0,7.0,79.0,132.0,599.0,,0.0
2010,29,299,UTA,Utah Jazz,Carlos Boozer,"November 20, 1981",28.0,NBA,PF,78.0,78.0,2673.0,617.0,1098.0,0.56,0.0,0.0,,617.0,1098.0,0.56,0.56,285.0,384.0,0.74,181.0,693.0,874.0,247.0,84.0,36.0,212.0,270.0,1519.0,,0.0
2011,5,299,CHI,Chicago Bulls,Carlos Boozer,"November 20, 1981",29.0,NBA,C,59.0,59.0,1882.0,431.0,845.0,0.51,0.0,0.0,,431.0,845.0,0.51,0.51,171.0,244.0,0.7,130.0,435.0,565.0,145.0,45.0,18.0,149.0,186.0,1033.0,,0.0
2012,5,299,CHI,Chicago Bulls,Carlos Boozer,"November 20, 1981",30.0,NBA,PF,66.0,66.0,1948.0,448.0,842.0,0.53,0.0,1.0,0.0,448.0,841.0,0.53,0.53,95.0,137.0,0.69,114.0,450.0,564.0,125.0,63.0,24.0,115.0,168.0,991.0,,0.0
2013,5,299,CHI,Chicago Bulls,Carlos Boozer,"November 20, 1981",31.0,NBA,PF,79.0,79.0,2546.0,544.0,1140.0,0.48,0.0,2.0,0.0,544.0,1138.0,0.48,0.48,193.0,264.0,0.73,175.0,596.0,771.0,179.0,66.0,28.0,176.0,239.0,1281.0,,0.0
2014,5,299,CHI,Chicago Bulls,Carlos Boozer,"November 20, 1981",32.0,NBA,PF,76.0,76.0,2141.0,447.0,980.0,0.46,0.0,2.0,0.0,447.0,978.0,0.46,0.46,148.0,193.0,0.77,137.0,495.0,632.0,118.0,53.0,22.0,154.0,216.0,1042.0,,0.0
2015,14,299,LAL,Los Angeles Lakers,Carlos Boozer,"November 20, 1981",33.0,NBA,PF,71.0,26.0,1692.0,371.0,743.0,0.5,0.0,0.0,,371.0,743.0,0.5,0.5,94.0,150.0,0.63,111.0,371.0,482.0,95.0,41.0,12.0,92.0,184.0,836.0,,0.0
