Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
2009,27,2894,SAS,San Antonio Spurs,Anthony Tolliver,"June 1, 1985",23.0,NBA,PF,19.0,0.0,208.0,5.0,17.0,0.29,2.3,10.7,0.22,2.6,6.3,0.42,1.3,2.6,0.5,3.1,7.6,10.7,4.4,1.3,0.3,1.8,4.2,13.6,89.0,105.0
2010,31,2894,TOT,Total After Trade,Anthony Tolliver,"June 1, 1985",24.0,NBA,PF,46.0,29.0,1427.0,6.5,15.1,0.43,1.7,5.1,0.33,4.8,10.0,0.48,3.5,4.5,0.77,2.8,7.9,10.7,2.9,1.1,1.1,1.5,4.3,18.1,111.0,112.0
2010,25,2894,POR,Portland Trail Blazers,Anthony Tolliver,"June 1, 1985",24.0,NBA,PF,2.0,0.0,4.0,0.0,13.7,0.0,0.0,13.7,0.0,0.0,0.0,,0.0,0.0,,0.0,13.7,13.7,0.0,0.0,0.0,0.0,13.7,0.0,0.0,107.0
2010,10,2894,GSW,Golden State Warriors,Anthony Tolliver,"June 1, 1985",24.0,NBA,PF,44.0,29.0,1423.0,6.5,15.1,0.43,1.7,5.1,0.33,4.8,10.0,0.48,3.5,4.5,0.77,2.8,7.9,10.7,2.9,1.1,1.1,1.5,4.3,18.1,111.0,112.0
2011,18,2894,MIN,Minnesota Timberwolves,Anthony Tolliver,"June 1, 1985",25.0,NBA,SF,65.0,4.0,1362.0,5.2,11.4,0.45,1.7,4.2,0.41,3.4,7.2,0.48,3.8,4.8,0.8,3.4,7.4,10.8,3.0,1.0,1.0,1.8,5.3,15.9,122.0,112.0
2012,18,2894,MIN,Minnesota Timberwolves,Anthony Tolliver,"June 1, 1985",26.0,NBA,SF,51.0,0.0,882.0,4.1,10.6,0.39,1.5,5.9,0.25,2.7,4.7,0.57,2.4,3.2,0.74,2.9,6.0,8.9,1.3,1.0,1.1,2.0,5.0,12.1,101.0,108.0
2013,1,2894,ATL,Atlanta Hawks,Anthony Tolliver,"June 1, 1985",27.0,NBA,SF,62.0,11.0,963.0,4.4,11.6,0.38,2.4,7.2,0.34,2.0,4.5,0.45,2.4,2.7,0.86,1.7,6.7,8.3,1.7,0.8,0.6,1.9,3.6,13.6,102.0,107.0
2014,4,2894,CHA,Charlotte Bobcats,Anthony Tolliver,"June 1, 1985",28.0,NBA,PF,64.0,9.0,1298.0,5.2,12.3,0.42,4.1,9.9,0.41,1.1,2.4,0.45,1.3,1.6,0.8,1.3,5.4,6.7,1.7,0.8,0.6,0.9,3.3,15.7,118.0,107.0
2015,31,2894,TOT,Total After Trade,Anthony Tolliver,"June 1, 1985",29.0,NBA,PF,76.0,11.0,1432.0,5.8,14.1,0.41,3.8,10.4,0.37,2.0,3.7,0.53,1.9,2.5,0.78,1.8,6.6,8.5,2.1,0.9,0.6,1.8,4.9,17.3,112.0,109.0
2015,24,2894,PHO,Phoenix Suns,Anthony Tolliver,"June 1, 1985",29.0,NBA,PF,24.0,0.0,272.0,4.8,13.6,0.35,4.4,11.4,0.39,0.4,2.2,0.17,0.7,1.1,0.67,1.1,7.0,8.1,1.8,0.7,0.2,2.0,3.7,14.7,100.0,109.0
2015,9,2894,DET,Detroit Pistons,Anthony Tolliver,"June 1, 1985",29.0,NBA,PF,52.0,11.0,1160.0,6.0,14.2,0.42,3.7,10.2,0.36,2.4,4.1,0.58,2.2,2.8,0.79,2.0,6.6,8.6,2.2,0.9,0.7,1.8,5.2,17.9,115.0,109.0
2016,9,2894,DET,Detroit Pistons,Anthony Tolliver,"June 1, 1985",30.0,NBA,PF,72.0,5.0,1341.0,4.8,12.5,0.39,3.7,10.2,0.36,1.1,2.3,0.5,1.1,1.8,0.62,1.5,7.2,8.6,2.0,1.0,0.6,1.1,3.2,14.4,113.0,107.0
2017,26,2894,SAC,Sacramento Kings,Anthony Tolliver,"June 1, 1985",31.0,NBA,PF,65.0,9.0,1477.0,5.3,12.0,0.44,3.1,7.9,0.39,2.2,4.1,0.54,2.1,2.8,0.74,1.7,6.4,8.1,2.6,1.2,0.7,1.9,3.7,15.8,113.0,113.0
2018,9,2894,DET,Detroit Pistons,Anthony Tolliver,"June 1, 1985",32.0,NBA,PF,79.0,14.0,1757.0,6.2,13.4,0.46,4.5,10.4,0.44,1.7,3.0,0.56,3.0,3.8,0.8,1.4,5.4,6.8,2.6,0.9,0.6,1.6,4.1,20.0,126.0,110.0
2019,18,2894,MIN,Minnesota Timberwolves,Anthony Tolliver,"June 1, 1985",33.0,NBA,PF,65.0,0.0,1079.0,4.4,11.5,0.38,3.6,9.5,0.38,0.8,2.0,0.41,2.1,2.7,0.78,0.7,7.2,7.9,2.0,0.8,0.9,1.6,4.0,14.5,110.0,115.0
