SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
2002,20,NYK,Latrell Sprewell,31,81,81,41.1,7.1,17.5,0.4,1.8,5.0,0.36,5.3,12.5,0.42,0.46,3.5,4.3,0.82,0.7,3.0,3.7,3.9,1.2,0.2,2.8,2.0,19.4
2002,20,NYK,Allan Houston,30,77,77,37.8,7.4,16.9,0.44,1.8,4.5,0.39,5.6,12.4,0.45,0.49,3.8,4.4,0.87,0.5,2.8,3.3,2.5,0.7,0.1,2.2,2.4,20.4
2002,20,NYK,Marcus Camby,27,29,29,34.7,4.5,10.0,0.45,0.0,0.0,0.0,4.5,10.0,0.45,0.45,2.1,3.4,0.63,3.1,8.0,11.1,1.1,1.2,1.7,1.4,3.7,11.1
2002,20,NYK,Kurt Thomas,29,82,82,33.8,5.6,11.4,0.49,0.0,0.1,0.17,5.6,11.4,0.5,0.49,2.6,3.2,0.82,2.6,6.5,9.1,1.1,0.9,1.0,1.9,4.2,13.9
2002,20,NYK,Clarence Weatherspoon,31,56,41,30.9,3.4,8.1,0.42,0.0,0.0,,3.4,8.1,0.42,0.42,2.1,2.6,0.8,2.7,5.6,8.2,1.1,0.7,0.9,0.8,2.4,8.8
2002,20,NYK,Mark Jackson,36,82,82,28.9,3.2,7.2,0.44,1.0,2.4,0.4,2.2,4.8,0.46,0.51,1.1,1.3,0.79,0.7,3.1,3.8,7.4,0.9,0.0,1.8,2.0,8.4
2002,20,NYK,Othella Harrington,28,77,4,20.3,3.1,5.8,0.53,0.0,0.0,0.0,3.1,5.8,0.53,0.53,1.6,2.2,0.71,1.6,2.9,4.5,0.5,0.4,0.5,1.2,3.2,7.7
2002,20,NYK,Shandon Anderson,28,82,6,19.5,1.8,4.5,0.4,0.5,1.7,0.28,1.3,2.8,0.47,0.45,0.9,1.3,0.69,0.7,2.3,3.0,0.9,0.6,0.2,1.2,1.6,5.0
2002,20,NYK,Charlie Ward,31,63,0,16.8,1.8,4.8,0.37,0.8,2.6,0.32,1.0,2.2,0.43,0.46,0.7,0.9,0.81,0.2,1.8,2.0,3.2,1.1,0.2,1.2,1.6,5.2
2002,20,NYK,Howard Eisley,29,39,0,15.6,1.5,4.5,0.34,0.4,1.5,0.24,1.2,3.0,0.38,0.38,1.0,1.3,0.8,0.2,1.0,1.3,2.6,0.6,0.1,1.4,1.4,4.4
2002,20,NYK,Travis Knight,27,49,0,8.8,0.8,2.3,0.36,0.0,0.0,,0.8,2.3,0.36,0.36,0.3,0.4,0.76,1.0,1.1,2.1,0.2,0.2,0.2,0.6,1.9,2.0
2002,20,NYK,Lavor Postell,23,23,0,7.8,1.2,3.7,0.33,0.3,1.1,0.23,1.0,2.5,0.38,0.37,1.3,1.8,0.76,0.1,0.6,0.7,0.2,0.3,0.0,0.5,0.3,4.0
2002,20,NYK,Felton Spencer,34,32,8,7.8,0.2,0.8,0.23,0.0,0.0,,0.2,0.8,0.23,0.23,0.5,1.0,0.52,0.5,1.1,1.6,0.1,0.2,0.3,0.4,2.3,0.9
2002,20,NYK,Larry Robinson,34,2,0,5.0,0.5,2.0,0.25,0.5,1.0,0.5,0.0,1.0,0.0,0.38,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,1.5
