PLAYER,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
Tony Parker,29,60,1923,22.0,0.539,0.069,0.319,1.3,8.7,5.1,40.3,1.5,0.2,13.1,27.7,,5.5,1.6,7.1,0.177,,3.6,-0.9,2.7,2.3
Tim Duncan,35,58,1634,22.5,0.531,0.005,0.34,7.9,28.2,18.3,13.5,1.2,3.9,10.3,26.2,,3.0,2.9,5.9,0.174,,2.0,1.3,3.3,2.2
Kawhi Leonard,20,64,1534,16.6,0.573,0.27,0.218,7.9,16.4,12.2,6.6,2.9,1.1,9.0,14.5,,3.1,2.4,5.5,0.171,,1.6,1.8,3.4,2.1
Danny Green,24,66,1522,15.5,0.579,0.491,0.21,4.2,12.9,8.6,8.3,2.0,2.2,11.4,17.6,,2.5,2.0,4.5,0.142,,1.8,1.2,3.0,1.9
DeJuan Blair,22,64,1363,17.6,0.5489999999999999,0.002,0.23600000000000002,13.2,16.3,14.8,9.2,2.2,0.6,14.2,21.7,,2.2,1.8,4.0,0.142,,-0.4,0.0,-0.3,0.6
Matt Bonner,31,65,1326,13.2,0.597,0.7140000000000001,0.06,2.6,15.7,9.3,6.5,0.6,1.1,3.8,12.8,,2.7,1.2,4.0,0.14300000000000002,,2.4,0.3,2.6,1.5
Gary Neal,27,56,1206,14.2,0.542,0.40700000000000003,0.132,1.2,9.9,5.6,15.1,1.2,0.1,10.5,21.7,,1.6,0.9,2.5,0.10099999999999999,,0.7,-0.8,-0.1,0.6
Richard Jefferson,31,41,1168,10.9,0.556,0.596,0.157,1.8,12.0,7.0,6.7,1.1,0.7,8.6,14.6,,1.4,1.0,2.4,0.1,,0.0,0.2,0.2,0.6
Tiago Splitter,27,59,1121,20.5,0.649,0.0,0.528,9.7,21.4,15.7,9.2,1.0,3.0,17.1,20.7,,3.0,1.6,4.6,0.19699999999999998,,0.9,1.1,2.0,1.1
Manu Ginóbili,34,34,792,24.1,0.6679999999999999,0.442,0.354,2.7,13.9,8.4,30.3,1.6,1.1,16.3,22.7,,3.4,0.9,4.2,0.257,,5.8,1.0,6.9,1.8
James Anderson,22,51,603,8.8,0.483,0.391,0.299,3.1,11.8,7.5,9.6,0.7,0.2,13.2,17.2,,0.1,0.4,0.5,0.04,,-2.7,-1.4,-4.1,-0.3
Stephen Jackson,33,21,500,13.1,0.529,0.405,0.353,1.4,16.9,9.3,11.8,2.9,1.0,17.3,19.5,,0.1,0.8,0.9,0.086,,-1.8,1.7,-0.1,0.2
Boris Diaw,29,20,406,12.1,0.65,0.191,0.11800000000000001,6.6,17.2,12.0,16.1,1.8,1.1,28.1,11.2,,0.5,0.5,1.1,0.125,,-1.2,1.7,0.5,0.3
Cory Joseph,20,29,266,6.9,0.374,0.214,0.243,2.2,8.5,5.4,17.4,1.4,0.8,13.4,15.4,,-0.2,0.2,0.0,0.001,,-4.4,-0.6,-5.0,-0.2
Patty Mills,23,16,261,21.5,0.604,0.431,0.115,1.8,10.3,6.2,25.9,2.0,0.3,16.0,28.4,,0.6,0.3,0.9,0.161,,3.6,-1.2,2.5,0.3
T.J. Ford,28,14,191,11.0,0.519,0.18600000000000003,0.326,1.8,8.8,5.4,32.7,2.4,0.8,31.9,17.2,,0.0,0.2,0.2,0.053,,-2.8,0.7,-2.0,0.0
Eric Dawson,27,4,39,14.6,0.5820000000000001,0.0,0.16699999999999998,15.0,14.4,14.7,0.0,1.3,3.7,18.9,18.6,,0.0,0.1,0.1,0.106,,-3.2,-2.7,-5.9,0.0
Derrick Byars,27,2,37,14.9,0.392,0.545,0.364,19.0,15.2,17.1,3.7,2.8,0.0,0.0,15.7,,0.1,0.1,0.1,0.147,,-2.3,-2.5,-4.7,0.0
Justin Dentmon,26,2,19,1.6,0.33299999999999996,0.667,0.0,0.0,5.9,3.0,7.4,2.7,0.0,14.3,16.8,,-0.1,0.0,0.0,-0.09,,-9.0,1.4,-7.5,0.0
Malcolm Thomas,23,3,15,7.1,0.129,0.0,0.667,7.8,15.0,11.5,8.1,3.4,4.8,0.0,11.8,,0.0,0.0,0.0,-0.027999999999999997,,-2.5,0.4,-2.0,0.0
Ike Diogu,28,2,14,-2.9,0.34700000000000003,0.0,1.0,0.0,8.0,4.1,0.0,0.0,0.0,25.8,12.6,,0.0,0.0,0.0,-0.11599999999999999,,-9.2,-3.1,-12.3,0.0
