SEASON,TEAM ID,TEAM,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
2013,18,MIN,17,Lou Amundson,PF,6-9,220,1982-12-07,US,6,UNLV
2013,18,MIN,11,J.J. Barea,PG,5-10,180,1984-06-26,PR,6,Northeastern University
2013,18,MIN,10,Chase Budinger,SF,6-7,209,1988-05-22,US,3,Arizona
2013,18,MIN,5,Will Conroy,PG,6-2,195,1982-12-08,US,2,Washington
2013,18,MIN,33,Dante Cunningham,PF,6-8,230,1987-04-22,US,3,Villanova
2013,18,MIN,15,Mickael Gelabale,SF,6-7,215,1983-05-22,GP,2,
2013,18,MIN,32,Lazar Hayward,SF,6-6,225,1986-11-26,US,2,Marquette
2013,18,MIN,5,Josh Howard,SF,6-7,210,1980-04-28,US,9,Wake Forest
2013,18,MIN,20,Chris Johnson,C,6-11,210,1985-07-15,US,2,LSU
2013,18,MIN,47,Andrei Kirilenko,SF,6-9,220,1981-02-18,RU,10,
2013,18,MIN,8,Malcolm Lee,SG,6-5,200,1990-05-22,US,1,UCLA
2013,18,MIN,42,Kevin Love,PF,6-8,251,1988-09-07,US,4,UCLA
2013,18,MIN,14,Nikola Pekovic,C,6-11,307,1986-01-03,ME,2,
2013,18,MIN,13,Luke Ridnour,SG,6-2,175,1981-02-13,US,9,Oregon
2013,18,MIN,3,Brandon Roy,SG,6-6,215,1984-07-23,US,5,Washington
2013,18,MIN,9,Ricky Rubio,PG,6-3,190,1990-10-21,ES,1,
2013,18,MIN,1,Alexey Shved,SG,6-6,190,1988-12-16,RU,R,
2013,18,MIN,34,Greg Stiemsma,C,6-11,260,1985-09-26,US,1,Wisconsin
2013,18,MIN,7,Derrick Williams,PF,6-8,240,1991-05-25,US,1,Arizona
