Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1994,7,1557,DAL,Dallas Mavericks,Popeye Jones,"June 17, 1970",23.0,NBA,PF,81.0,1773.0,14.1,0.52,0.0,0.26,17.6,20.9,19.2,8.4,1.7,1.2,17.2,13.1,2.1,1.6,3.6,0.1,-0.9,-1.2,-2.1,-0.1
1995,7,1557,DAL,Dallas Mavericks,Popeye Jones,"June 17, 1970",24.0,NBA,PF,80.0,2385.0,13.8,0.46,0.01,0.15,14.1,24.7,19.1,10.5,0.7,0.8,12.2,17.6,1.5,2.2,3.6,0.07,-1.3,-1.2,-2.5,-0.3
1996,7,1557,DAL,Dallas Mavericks,Popeye Jones,"June 17, 1970",25.0,NBA,PF,68.0,2322.0,13.4,0.49,0.05,0.18,10.8,23.6,16.6,8.8,1.2,0.8,12.1,16.2,1.7,1.9,3.7,0.08,-1.9,-0.8,-2.7,-0.4
1997,28,1557,TOR,Toronto Raptors,Popeye Jones,"June 17, 1970",26.0,NBA,PF,79.0,2421.0,12.0,0.52,0.02,0.22,12.7,20.4,16.4,5.6,1.3,1.3,16.4,13.1,2.0,2.2,4.2,0.08,-2.2,-1.0,-3.2,-0.7
1998,28,1557,TOR,Toronto Raptors,Popeye Jones,"June 17, 1970",27.0,NBA,PF,14.0,352.0,13.4,0.44,0.02,0.15,15.3,17.2,16.2,8.6,1.5,0.6,10.6,18.9,0.2,0.1,0.3,0.04,-1.3,-3.2,-4.5,-0.2
1999,2,1557,BOS,Boston Celtics,Popeye Jones,"June 17, 1970",28.0,NBA,PF,18.0,206.0,12.4,0.46,0.02,0.33,14.9,13.5,14.2,11.2,1.3,0.0,10.7,14.2,0.3,0.1,0.5,0.11,-1.4,-1.8,-3.2,-0.1
2000,8,1557,DEN,Denver Nuggets,Popeye Jones,"June 17, 1970",29.0,NBA,PF,40.0,330.0,12.4,0.46,0.03,0.18,13.4,20.6,17.0,9.0,0.5,1.2,10.4,16.5,0.3,0.2,0.6,0.08,-1.8,-1.5,-3.4,-0.1
2001,30,1557,WAS,Washington Wizards,Popeye Jones,"June 17, 1970",30.0,NBA,PF,45.0,638.0,13.1,0.46,0.04,0.36,14.9,25.6,20.2,7.8,1.5,0.9,10.6,13.8,0.8,0.5,1.2,0.09,-1.3,-1.7,-3.0,-0.2
2002,30,1557,WAS,Washington Wizards,Popeye Jones,"June 17, 1970",31.0,NBA,PF,79.0,1920.0,14.4,0.49,0.02,0.26,14.0,21.1,17.5,10.5,1.4,0.7,13.5,15.7,2.4,1.9,4.3,0.11,-0.4,-0.8,-1.3,0.4
2003,7,1557,DAL,Dallas Mavericks,Popeye Jones,"June 17, 1970",32.0,NBA,PF,26.0,222.0,7.0,0.4,0.0,0.18,14.4,14.9,14.6,5.2,1.2,0.3,18.3,16.7,-0.2,0.2,0.0,0.0,-5.4,-2.7,-8.1,-0.3
2004,10,1557,GSW,Golden State Warriors,Popeye Jones,"June 17, 1970",33.0,NBA,PF,5.0,10.0,-7.8,0.0,0.0,0.0,11.2,0.0,5.6,0.0,0.0,0.0,0.0,9.2,0.0,0.0,0.0,-0.17,-9.8,-4.7,-14.5,0.0
