Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1984,27,2265,SAS,San Antonio Spurs,John Paxson,"September 29, 1960",23.0,NBA,PG,49.0,458.0,12.7,0.48,0.16,0.19,0.9,6.6,3.8,38.5,1.0,0.2,17.7,15.3,0.5,0.1,0.6,0.06,0.3,-2.0,-1.7,0.0
1985,27,2265,SAS,San Antonio Spurs,John Paxson,"September 29, 1960",24.0,NBA,PG,78.0,1259.0,12.6,0.57,0.09,0.26,1.8,4.3,3.1,21.9,1.7,0.1,15.9,16.2,1.7,0.6,2.3,0.09,-0.5,-0.9,-1.3,0.2
1986,5,2265,CHI,Chicago Bulls,John Paxson,"September 29, 1960",25.0,NBA,PG,75.0,1570.0,10.5,0.54,0.15,0.28,1.3,5.7,3.4,22.4,1.7,0.1,14.6,11.2,2.1,0.2,2.2,0.07,-1.4,-0.7,-2.0,0.0
1987,5,2265,CHI,Chicago Bulls,John Paxson,"September 29, 1960",26.0,NBA,PG,82.0,2689.0,12.8,0.55,0.18,0.16,0.9,5.0,2.9,24.5,1.2,0.2,11.0,15.0,4.4,1.6,6.0,0.11,-0.4,-1.0,-1.4,0.4
1988,5,2265,CHI,Chicago Bulls,John Paxson,"September 29, 1960",27.0,NBA,PG,81.0,1888.0,12.3,0.53,0.16,0.08,1.0,5.3,3.2,22.5,1.3,0.0,9.6,15.1,2.7,1.5,4.2,0.11,-0.9,-0.5,-1.4,0.3
1989,5,2265,CHI,Chicago Bulls,John Paxson,"September 29, 1960",28.0,NBA,PG,78.0,1738.0,12.0,0.54,0.26,0.07,0.9,5.2,3.1,24.3,1.5,0.2,11.8,14.8,2.3,1.0,3.3,0.09,-0.8,-0.6,-1.4,0.3
1990,5,2265,CHI,Chicago Bulls,John Paxson,"September 29, 1960",29.0,NBA,PG,82.0,2365.0,12.7,0.56,0.13,0.1,1.3,4.6,3.0,19.2,1.7,0.2,10.3,14.9,3.7,1.1,4.8,0.1,-0.6,-0.9,-1.5,0.3
1991,5,2265,CHI,Chicago Bulls,John Paxson,"September 29, 1960",30.0,NBA,PG,82.0,1971.0,14.0,0.6,0.17,0.07,0.9,4.5,2.7,19.9,1.6,0.1,10.4,14.4,4.2,1.5,5.7,0.14,0.6,-0.3,0.3,1.1
1992,5,2265,CHI,Chicago Bulls,John Paxson,"September 29, 1960",31.0,NBA,PG,79.0,1946.0,10.9,0.55,0.09,0.08,1.3,4.3,2.9,15.7,1.3,0.3,8.0,12.1,3.0,1.7,4.7,0.12,-1.0,0.3,-0.8,0.6
1993,5,2265,CHI,Chicago Bulls,John Paxson,"September 29, 1960",32.0,NBA,PG,59.0,1030.0,9.3,0.51,0.18,0.09,1.0,4.5,2.7,17.1,1.9,0.1,11.4,11.5,1.1,0.8,1.9,0.09,-2.9,0.1,-2.8,-0.2
1994,5,2265,CHI,Chicago Bulls,John Paxson,"September 29, 1960",33.0,NBA,PG,27.0,343.0,8.3,0.51,0.32,0.03,1.0,5.8,3.4,13.1,1.1,0.4,8.0,9.7,0.3,0.3,0.6,0.09,-2.0,0.2,-1.8,0.0
