Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1986,23.0,ATL,NBA,PF,9.0,9.0,280.0,7.1,12.6,0.561,0.0,0.0,,7.1,12.6,0.561,1.9,3.0,0.652,4.0,4.4,8.4,0.6,0.9,1.0,1.9,4.9,16.1
1987,24.0,ATL,NBA,PF,9.0,9.0,356.0,6.1,11.6,0.522,0.0,0.0,,6.1,11.6,0.522,2.1,3.1,0.677,3.3,5.1,8.4,0.6,0.9,0.7,1.7,3.3,14.3
1988,25.0,ATL,NBA,PF,12.0,12.0,462.0,6.2,10.8,0.58,0.0,0.1,0.0,6.2,10.7,0.584,2.6,3.9,0.68,2.8,5.6,8.4,0.9,0.8,0.8,1.9,4.0,15.1
1991,28.0,ATL,NBA,PF,5.0,5.0,159.0,6.1,15.2,0.403,0.5,0.7,0.667,5.7,14.5,0.391,4.8,6.8,0.7,4.1,6.1,10.2,1.1,0.7,0.2,0.5,5.0,17.4
1993,30.0,ATL,NBA,PF,3.0,3.0,103.0,7.3,15.7,0.467,0.0,0.3,0.0,7.3,15.4,0.477,2.8,4.9,0.571,4.5,4.5,9.1,1.0,0.7,0.0,2.4,4.5,17.5
1994,31.0,ATL,NBA,PF,11.0,11.0,362.0,5.9,12.8,0.457,0.0,0.5,0.0,5.9,12.3,0.476,1.6,2.1,0.762,3.8,8.1,11.8,1.1,0.8,0.5,1.9,3.7,13.3
1997,34.0,HOU,NBA,PF,16.0,0.0,295.0,4.6,11.6,0.4,0.0,0.1,0.0,4.6,11.5,0.404,3.2,4.6,0.684,2.7,6.5,9.2,1.3,1.1,0.5,2.7,5.7,12.4
1998,35.0,HOU,NBA,PF,5.0,5.0,168.0,4.7,11.8,0.4,0.0,0.2,0.0,4.7,11.6,0.407,2.6,3.4,0.75,3.9,7.5,11.4,1.1,1.7,0.6,2.6,4.5,12.0
2003,40.0,SAS,NBA,C,18.0,0.0,91.0,8.3,15.8,0.525,0.4,0.4,1.0,7.9,15.4,0.513,1.2,1.2,1.0,7.5,4.7,12.3,0.8,0.4,0.4,3.2,6.3,18.2
2004,41.0,SAS,NBA,C,7.0,0.0,25.0,4.3,11.5,0.375,0.0,1.4,0.0,4.3,10.1,0.429,0.0,1.4,0.0,0.0,8.6,8.6,0.0,1.4,0.0,0.0,7.2,8.6
