TEAM,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
PHO,82,240.6,42.6,86.5,0.49,4.9,13.4,0.36,37.8,73.1,0.52,23.3,31.0,0.75,13.9,30.6,44.5,25.5,9.2,5.5,16.6,21.2,113.4
CHO,82,240.9,42.8,87.9,0.49,2.1,6.5,0.33,40.7,81.4,0.5,22.3,29.0,0.77,13.4,30.6,43.9,26.4,7.8,5.8,16.2,21.8,110.1
GSW,82,242.7,42.4,88.0,0.48,3.6,10.4,0.35,38.7,77.6,0.5,21.6,30.1,0.72,14.9,29.1,43.9,24.5,8.5,4.7,17.7,25.1,109.9
POR,82,242.7,41.0,89.5,0.46,3.4,10.3,0.33,37.6,79.3,0.48,23.2,31.1,0.74,15.0,30.6,45.5,24.0,9.4,5.2,14.8,23.1,108.5
SEA,82,241.2,42.4,87.1,0.49,2.7,7.4,0.36,39.7,79.6,0.5,21.0,27.5,0.76,14.9,27.5,42.4,23.2,11.5,5.0,15.5,24.0,108.3
SAC,82,241.2,41.0,88.6,0.46,3.2,9.6,0.33,37.8,79.0,0.48,22.7,29.8,0.76,13.9,27.8,41.7,25.3,9.4,4.2,16.6,25.4,107.9
IND,82,240.9,41.1,85.6,0.48,3.1,9.6,0.33,38.0,76.0,0.5,22.4,29.3,0.77,14.9,29.9,44.8,26.1,7.5,4.9,15.3,24.9,107.8
CLE,82,241.8,41.8,84.0,0.5,3.5,9.0,0.38,38.3,74.9,0.51,20.7,25.8,0.8,11.3,30.4,41.8,28.6,7.5,6.5,13.7,19.3,107.7
ALT,82,241.8,41.4,88.7,0.47,4.7,13.1,0.36,36.7,75.6,0.49,20.1,27.1,0.74,15.7,28.6,44.3,25.4,9.8,3.4,16.3,22.0,107.5
LAC,82,241.5,43.2,89.4,0.48,1.6,6.0,0.27,41.6,83.4,0.5,19.0,26.5,0.72,14.4,28.8,43.2,27.3,10.3,6.0,16.3,23.4,107.1
UTA,82,240.9,40.7,83.3,0.49,1.6,5.0,0.31,39.1,78.2,0.5,23.3,30.4,0.77,12.7,30.0,42.7,26.5,9.1,4.2,15.5,24.0,106.2
ORL,82,242.4,39.7,81.8,0.49,3.9,10.8,0.36,35.9,71.0,0.5,22.2,30.4,0.73,12.7,31.3,44.0,23.8,6.6,5.7,17.4,23.5,105.5
SAS,82,242.1,40.4,82.5,0.49,2.9,8.4,0.34,37.5,74.0,0.51,21.9,28.6,0.76,11.2,31.0,42.2,24.5,7.1,6.3,15.0,22.5,105.5
DEN,82,241.8,40.9,88.8,0.46,1.7,5.5,0.3,39.2,83.3,0.47,21.8,28.8,0.76,15.4,31.3,46.7,21.2,7.9,6.9,17.2,24.9,105.2
CHI,82,241.8,42.4,87.9,0.48,3.0,8.2,0.36,39.4,79.7,0.49,17.5,23.8,0.73,15.7,27.8,43.6,26.0,9.5,5.0,13.5,22.0,105.2
PHI,82,243.0,39.3,86.3,0.46,4.0,11.5,0.35,35.3,74.8,0.47,21.7,27.5,0.79,12.6,29.6,42.2,24.9,8.2,6.9,16.6,19.6,104.3
LAL,82,241.8,40.4,85.3,0.47,2.3,7.6,0.3,38.1,77.7,0.49,21.2,28.1,0.76,13.5,27.9,41.4,24.5,9.5,5.3,15.4,21.7,104.2
HOU,82,241.2,40.0,82.2,0.49,4.7,13.1,0.36,35.3,69.2,0.51,19.3,25.5,0.76,12.0,30.9,42.9,25.8,8.3,6.6,15.8,20.7,104.0
BOS,82,241.2,42.1,86.5,0.49,1.3,4.7,0.29,40.8,81.8,0.5,18.1,23.3,0.78,13.1,29.7,42.8,24.4,7.9,5.6,14.3,22.7,103.7
MIA,82,244.0,38.1,83.5,0.46,4.1,11.5,0.35,34.1,72.1,0.47,23.3,30.2,0.77,13.8,29.1,42.9,20.6,7.4,4.3,15.7,24.5,103.6
NJN,82,241.2,39.9,86.4,0.46,1.9,6.0,0.32,38.0,80.4,0.47,21.1,27.5,0.77,15.7,30.6,46.3,22.8,8.5,6.4,16.5,23.1,102.8
MIL,82,240.6,39.9,84.4,0.47,3.8,11.4,0.33,36.0,73.0,0.49,18.8,25.4,0.74,12.8,25.8,38.6,25.4,10.5,4.8,16.6,24.1,102.3
WAB,82,241.5,40.3,86.2,0.47,2.1,7.0,0.3,38.1,79.1,0.48,19.2,25.7,0.75,12.6,28.3,40.8,25.7,8.2,4.4,16.1,21.9,101.9
NYK,82,243.0,39.1,84.1,0.46,2.4,7.4,0.32,36.8,76.8,0.48,20.9,28.2,0.74,14.0,32.4,46.5,25.9,8.3,4.5,15.8,25.7,101.6
DET,82,241.2,39.8,87.9,0.45,3.6,11.1,0.32,36.3,76.9,0.47,17.4,23.9,0.73,15.8,28.2,44.0,23.7,7.1,3.0,14.0,21.3,100.6
DAL,82,240.6,38.6,88.7,0.44,3.5,10.2,0.34,35.1,78.5,0.45,18.7,26.5,0.7,15.0,27.6,42.7,20.5,7.9,4.3,17.8,28.1,99.3
MIN,82,242.1,37.1,79.6,0.47,2.0,6.9,0.29,35.1,72.7,0.48,21.9,27.4,0.8,11.5,26.9,38.3,24.4,7.9,5.5,17.3,24.7,98.1
