TEAM,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
PHO,82,242.7,41.3,83.6,0.49,9.6,24.0,0.4,31.7,59.6,0.53,18.0,22.3,0.81,9.0,31.5,40.5,25.9,6.7,4.8,14.5,20.2,110.2
GSW,82,240.9,39.8,86.0,0.46,8.5,24.0,0.36,31.2,62.0,0.5,18.5,25.8,0.72,11.5,30.0,41.4,23.8,9.1,5.7,16.0,23.6,106.5
DEN,82,241.2,38.6,83.0,0.46,5.9,17.6,0.34,32.7,65.4,0.5,22.3,29.9,0.75,12.2,31.2,43.4,23.4,8.3,5.3,16.5,21.4,105.4
WAS,82,241.8,37.4,83.2,0.45,6.8,19.7,0.35,30.6,63.5,0.48,22.6,29.6,0.76,12.2,29.0,41.2,20.2,7.7,4.6,13.8,22.2,104.3
LAL,82,244.3,37.8,81.3,0.47,7.4,21.0,0.35,30.4,60.2,0.5,20.2,27.1,0.75,10.8,30.4,41.2,22.6,7.3,5.1,15.5,23.0,103.3
MEM,82,243.7,36.6,78.6,0.46,6.1,16.6,0.37,30.5,62.0,0.49,22.4,29.4,0.76,10.6,29.0,39.5,20.5,6.9,5.0,16.4,22.3,101.6
UTA,82,241.5,37.4,78.9,0.47,4.3,12.9,0.34,33.1,66.0,0.5,22.3,30.0,0.74,12.6,30.0,42.5,24.7,7.0,4.1,15.6,25.2,101.5
SAC,82,241.5,35.9,79.7,0.45,6.5,18.5,0.35,29.4,61.2,0.48,23.1,30.2,0.76,9.7,29.2,38.9,20.3,8.2,3.2,14.6,21.9,101.3
DAL,82,240.9,36.7,78.6,0.47,6.5,17.1,0.38,30.2,61.4,0.49,20.1,24.9,0.8,11.2,30.7,41.9,19.9,6.8,5.0,13.9,22.4,100.0
MIL,82,242.1,38.1,81.9,0.46,6.4,18.0,0.36,31.7,63.9,0.5,17.1,23.4,0.73,11.5,27.7,39.2,21.6,7.2,2.7,15.1,22.2,99.7
TOR,82,240.9,37.0,79.8,0.46,6.5,17.9,0.36,30.5,62.0,0.49,19.0,24.2,0.79,9.2,30.2,39.5,22.2,7.1,3.9,13.5,20.4,99.5
SEA,82,241.8,37.2,80.8,0.46,6.4,17.7,0.36,30.8,63.1,0.49,18.4,23.3,0.79,11.3,28.3,39.6,20.7,7.7,3.7,15.5,22.0,99.1
CHI,82,241.2,37.1,81.3,0.46,5.9,15.1,0.39,31.3,66.2,0.47,18.6,25.4,0.73,12.0,31.7,43.7,22.3,7.8,5.4,16.0,23.3,98.8
SAS,82,241.2,36.6,77.2,0.47,7.3,19.0,0.38,29.3,58.1,0.5,18.1,24.1,0.75,9.3,31.4,40.7,22.1,7.2,5.1,13.9,19.4,98.5
NJN,82,242.4,35.5,77.8,0.46,7.4,20.4,0.36,28.1,57.4,0.49,19.1,26.3,0.73,10.0,30.8,40.8,23.9,6.1,3.3,14.8,22.8,97.6
NYK,82,244.0,35.4,77.5,0.46,5.8,16.7,0.35,29.6,60.8,0.49,20.9,29.2,0.72,12.6,30.7,43.3,18.7,6.6,3.2,17.1,23.6,97.5
HOU,82,242.1,35.4,79.6,0.44,8.6,23.1,0.37,26.8,56.5,0.48,17.5,23.2,0.75,10.7,32.6,43.3,20.8,7.1,4.1,14.2,20.9,97.0
CHA,82,244.0,36.1,81.0,0.45,5.6,15.6,0.36,30.5,65.4,0.47,19.1,26.0,0.73,11.2,28.6,39.8,22.4,7.8,4.5,14.9,24.2,96.9
CLE,82,242.4,36.3,81.2,0.45,6.0,17.1,0.35,30.3,64.1,0.47,18.1,26.0,0.7,12.7,30.8,43.5,20.8,7.6,4.3,14.4,21.7,96.8
MIN,82,244.0,36.5,79.3,0.46,4.7,13.3,0.35,31.9,66.0,0.48,18.3,23.1,0.79,10.0,30.2,40.2,22.5,6.5,4.0,15.6,21.4,96.1
DET,82,242.4,35.9,79.1,0.45,5.5,15.9,0.34,30.4,63.2,0.48,18.8,24.2,0.77,11.6,29.0,40.5,21.6,7.1,5.8,12.2,20.4,96.0
BOS,82,242.1,34.9,78.7,0.44,5.7,15.6,0.37,29.1,63.1,0.46,20.4,26.6,0.77,11.2,29.2,40.4,19.9,7.2,4.7,16.5,24.0,95.8
LAC,82,240.6,35.1,77.0,0.46,3.8,11.0,0.35,31.3,66.0,0.47,21.6,27.4,0.79,10.8,30.3,41.1,21.5,7.3,5.8,15.1,22.7,95.6
IND,82,241.2,35.0,80.0,0.44,5.9,16.9,0.35,29.2,63.1,0.46,19.7,25.9,0.76,12.1,29.8,41.8,20.5,7.3,5.5,16.3,23.3,95.6
NOK,82,242.4,36.2,81.4,0.44,5.5,15.3,0.36,30.7,66.1,0.46,17.5,23.7,0.74,12.5,30.6,43.1,18.7,6.4,4.2,14.5,19.8,95.5
PHI,82,242.4,35.8,78.1,0.46,3.5,10.0,0.34,32.3,68.1,0.47,20.0,26.0,0.77,11.0,28.7,39.7,20.4,7.2,4.8,15.3,20.4,94.9
ORL,82,241.2,35.1,74.3,0.47,4.2,11.7,0.36,30.9,62.5,0.49,20.5,29.2,0.7,11.2,29.5,40.7,18.6,6.9,5.1,17.0,23.2,94.8
MIA,82,242.1,35.6,76.7,0.46,6.4,18.8,0.34,29.2,57.9,0.5,17.0,24.6,0.69,10.0,30.8,40.8,20.5,6.9,5.4,14.6,21.3,94.6
POR,82,243.4,35.0,78.0,0.45,5.2,15.0,0.35,29.9,62.9,0.47,18.8,24.5,0.77,11.3,28.0,39.3,18.5,6.8,4.6,15.1,23.5,94.1
ALT,82,242.4,34.5,77.7,0.44,4.2,12.7,0.33,30.4,65.0,0.47,20.5,26.9,0.76,11.9,28.2,40.1,19.2,7.4,5.4,15.9,24.0,93.7
