TEAM,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
GSW,82,240.6,42.8,85.1,0.5,11.3,28.9,0.39,31.5,56.2,0.56,16.6,20.3,0.82,8.4,35.1,43.5,29.3,8.0,7.5,15.5,19.6,113.5
HOU,82,240.9,38.7,84.2,0.46,15.3,42.3,0.36,23.4,41.9,0.56,19.6,25.1,0.78,9.0,34.5,43.5,21.5,8.5,4.8,13.8,19.5,112.4
NOP,82,243.4,42.7,88.3,0.48,10.2,28.2,0.36,32.5,60.1,0.54,16.1,20.9,0.77,8.7,35.7,44.3,26.8,8.0,5.9,14.9,19.1,111.7
TOR,82,241.8,41.3,87.4,0.47,11.8,33.0,0.36,29.5,54.4,0.54,17.3,21.8,0.79,9.8,34.2,44.0,24.3,7.6,6.1,13.4,21.7,111.7
CLE,82,240.6,40.4,84.8,0.48,12.0,32.1,0.37,28.4,52.6,0.54,18.1,23.3,0.78,8.5,33.7,42.1,23.4,7.1,3.8,13.7,18.6,110.9
DEN,82,242.4,40.7,86.6,0.47,11.5,30.9,0.37,29.2,55.7,0.52,17.1,22.3,0.77,11.0,33.5,44.5,25.1,7.6,4.9,15.0,18.7,110.0
PHI,82,241.2,40.8,86.6,0.47,11.0,29.8,0.37,29.9,56.7,0.53,17.1,22.8,0.75,10.9,36.5,47.4,27.1,8.3,5.1,16.5,22.1,109.8
MIN,82,241.5,41.0,86.1,0.48,8.0,22.5,0.36,33.0,63.6,0.52,19.4,24.1,0.8,10.3,31.6,42.0,22.7,8.4,4.2,12.5,18.2,109.5
LAC,82,240.3,40.3,85.4,0.47,9.5,26.8,0.35,30.8,58.6,0.52,19.0,25.5,0.74,10.1,33.7,43.9,22.3,7.7,4.5,14.7,20.0,109.0
CHO,82,241.2,39.0,86.7,0.45,10.0,27.2,0.37,28.9,59.4,0.49,20.2,27.0,0.75,10.1,35.4,45.5,21.6,6.8,4.5,12.7,17.2,108.2
LAL,82,242.7,40.7,88.4,0.46,10.0,29.1,0.34,30.7,59.3,0.52,16.6,23.3,0.71,10.7,35.7,46.4,23.8,7.7,4.7,15.8,21.2,108.1
OKC,82,241.8,39.9,88.1,0.45,10.7,30.4,0.35,29.1,57.7,0.5,17.3,24.2,0.72,12.5,32.6,45.1,21.3,9.1,5.0,14.0,20.2,107.9
WAS,82,242.1,39.9,85.6,0.47,9.9,26.5,0.38,30.0,59.1,0.51,16.8,21.8,0.77,10.0,33.1,43.1,25.2,7.9,4.3,14.6,21.3,106.6
BRK,82,242.1,38.2,86.8,0.44,12.7,35.7,0.36,25.5,51.1,0.5,17.4,22.6,0.77,9.7,34.8,44.4,23.7,6.2,4.8,15.2,20.6,106.6
MIL,82,241.8,39.7,83.0,0.48,8.8,24.7,0.36,31.0,58.3,0.53,18.3,23.4,0.78,8.4,31.5,39.8,23.2,8.8,5.4,13.8,21.4,106.5
POR,82,240.9,39.3,87.0,0.45,10.3,28.1,0.37,29.0,58.8,0.49,16.7,20.9,0.8,10.2,35.3,45.5,19.5,7.0,5.2,13.5,19.5,105.6
IND,82,240.9,40.8,86.4,0.47,9.0,24.5,0.37,31.8,61.9,0.51,14.9,19.2,0.78,9.6,32.7,42.3,22.2,8.8,4.1,13.3,18.8,105.6
NYK,82,241.8,40.7,87.7,0.46,8.2,23.3,0.35,32.5,64.4,0.5,14.9,19.0,0.79,10.5,33.6,44.0,23.3,6.7,5.1,14.7,20.5,104.5
UTA,82,240.9,38.3,82.9,0.46,10.8,29.6,0.37,27.5,53.3,0.52,16.8,21.5,0.78,9.0,34.2,43.3,22.4,8.6,5.1,14.7,19.6,104.1
BOS,82,241.5,38.3,85.1,0.45,11.5,30.4,0.38,26.9,54.7,0.49,16.0,20.7,0.77,9.4,35.1,44.5,22.5,7.4,4.5,14.0,19.7,104.0
PHO,82,240.3,38.5,87.1,0.44,9.3,27.9,0.33,29.1,59.2,0.49,17.7,23.9,0.74,10.3,33.9,44.1,21.3,6.9,4.5,15.7,22.0,103.9
DET,82,241.5,39.1,86.9,0.45,10.8,28.9,0.37,28.3,58.0,0.49,14.7,19.8,0.74,10.1,33.6,43.7,22.8,7.7,3.9,13.5,18.4,103.8
MIA,82,243.0,38.8,85.3,0.46,11.0,30.6,0.36,27.8,54.8,0.51,14.7,19.5,0.76,9.3,34.2,43.5,22.7,7.6,5.3,14.4,20.1,103.4
ORL,82,240.6,38.8,85.9,0.45,10.3,29.3,0.35,28.5,56.5,0.5,15.5,20.5,0.76,8.8,32.8,41.6,23.4,7.6,4.9,14.5,19.3,103.4
ALT,82,240.3,38.2,85.5,0.45,11.2,31.0,0.36,27.0,54.5,0.5,15.8,20.2,0.78,9.1,32.8,41.9,23.7,7.8,4.2,15.6,19.6,103.4
CHI,82,242.1,38.7,88.8,0.44,11.0,31.1,0.36,27.6,57.8,0.48,14.6,19.2,0.76,9.6,35.0,44.7,23.5,7.6,3.5,14.0,19.2,102.9
SAS,82,240.6,39.0,85.4,0.46,8.5,24.1,0.35,30.6,61.2,0.5,16.1,20.9,0.77,10.4,33.9,44.2,22.8,7.7,5.6,13.1,17.2,102.7
DAL,82,241.5,38.1,85.9,0.44,11.8,32.8,0.36,26.4,53.1,0.5,14.2,18.7,0.76,8.1,33.1,41.3,22.7,7.0,3.8,12.3,19.2,102.3
MEM,82,240.3,36.7,82.8,0.44,9.2,26.2,0.35,27.5,56.5,0.49,16.6,21.1,0.79,9.5,31.0,40.5,21.5,7.5,4.8,15.0,23.2,99.3
SAC,82,240.9,38.8,86.1,0.45,9.0,24.0,0.38,29.8,62.1,0.48,12.3,16.7,0.74,9.5,31.4,40.9,21.6,7.8,4.1,13.7,20.0,98.8
