Season,Tm,Player,Rank,Pts Won,Pts Max,Share,Type
1983,PHI,Moses Malone,1,720.0,750,0.96,MVP
1983,BOS,Larry Bird,2,364.0,750,0.485,MVP
1983,LAL,Magic Johnson,3,304.5,750,0.406,MVP
1983,MIL,Sidney Moncrief,4,226.0,750,0.301,MVP
1983,PHI,Julius Erving,5,112.0,750,0.149,MVP
1983,DEN,Alex English,6,42.0,750,0.056,MVP
1983,NJN,Buck Williams,7,40.0,750,0.053,MVP
1983,SAS,Artis Gilmore,8,33.0,750,0.044,MVP
1983,SAS,George Gervin,9,30.0,750,0.04,MVP
1983,LAL,Kareem Abdul-Jabbar,10,15.0,750,0.02,MVP
1983,SEA,Jack Sikma,11,13.0,750,0.017,MVP
1983,WSB,Jeff Ruland,12,12.0,750,0.016,MVP
1983,SDC,Terry Cummings,13,10.0,750,0.013,MVP
1983,PHO,Maurice Lucas,14,9.0,750,0.012,MVP
1983,MIL,Alton Lister,15,5.0,750,0.007,MVP
1983,NYK,Bernard King,16T,4.0,750,0.005,MVP
1983,DET,Isiah Thomas,16T,4.0,750,0.005,MVP
1983,KCK,Larry Drew,18T,3.0,750,0.004,MVP
1983,SEA,Gus Williams,18T,3.0,750,0.004,MVP
1983,ATL,Dan Roundfield,20,2.0,750,0.003,MVP
1983,MIL,Marques Johnson,21,1.5,750,0.002,MVP
1983,LAL,Norm Nixon,22T,1.0,750,0.001,MVP
1983,DEN,Kiki Vandeweghe,22T,1.0,750,0.001,MVP
