Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
2019,25,2907,POR,Portland Trail Blazers,20.0,NBA,SG,15,1,111,7.0,21.8,0.32,2.2,9.2,0.24,4.8,12.7,0.38,1.3,3.1,0.43,0.4,4.4,4.8,2.2,0.4,0.9,1.7,1.7,17.5,,81,115
2020,25,2907,POR,Portland Trail Blazers,21.0,NBA,SF,61,8,1332,7.0,15.8,0.44,4.0,9.6,0.42,3.0,6.2,0.49,1.3,1.6,0.82,0.9,2.7,3.6,2.2,1.7,0.6,0.8,3.2,19.4,,121,117
2021,25,2907,POR,Portland Trail Blazers,22.0,NBA,SG,12,0,292,7.7,18.1,0.42,4.4,10.4,0.42,3.3,7.7,0.43,1.3,2.0,0.67,1.0,2.4,3.4,2.3,0.7,0.2,1.0,2.8,21.0,,112,120
