Season,Team ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
2008,13,LAC,Los Angeles Clippers,1,Andre Barrett,PG,5-10,172,1982-02-21,US,3,Seton Hall
2008,13,LAC,Los Angeles Clippers,42,Elton Brand,PF,6-8,275,1979-03-11,US,8,Duke
2008,13,LAC,Los Angeles Clippers,19,Sam Cassell,PG,6-3,185,1969-11-18,US,14,Florida State
2008,13,LAC,Los Angeles Clippers,40,Paul Davis,PF,6-11,270,1984-07-21,US,1,Michigan State
2008,13,LAC,Los Angeles Clippers,1,Guillermo Diaz,SG,6-2,192,1985-03-04,PR,R,Miami (FL)
2008,13,LAC,Los Angeles Clippers,10,Dan Dickau,PG,6-0,190,1978-09-16,US,5,"Washington, Gonzaga"
2008,13,LAC,Los Angeles Clippers,20,Nick Fazekas,PF,6-11,235,1985-06-17,US,R,Nevada
2008,13,LAC,Los Angeles Clippers,24,Richie Frahm,SG,6-5,210,1977-08-14,US,3,Gonzaga
2008,13,LAC,Los Angeles Clippers,35,Chris Kaman,C,7-0,265,1982-04-28,US,4,Central Michigan University
2008,13,LAC,Los Angeles Clippers,22,Brevin Knight,PG,5-10,173,1975-11-08,US,10,Stanford
2008,13,LAC,Los Angeles Clippers,50,Corey Maggette,SF,6-6,218,1979-11-12,US,8,Duke
2008,13,LAC,Los Angeles Clippers,5,Cuttino Mobley,SG,6-4,190,1975-09-01,US,9,Rhode Island
2008,13,LAC,Los Angeles Clippers,1,Smush Parker,PG,6-4,190,1981-06-01,US,4,Fordham
2008,13,LAC,Los Angeles Clippers,23,Ruben Patterson,SF,6-5,224,1975-07-31,US,9,Cincinnati
2008,13,LAC,Los Angeles Clippers,21,Josh Powell,C,6-9,225,1983-01-25,US,2,NC State
2008,13,LAC,Los Angeles Clippers,13,Quinton Ross,SG,6-6,195,1981-04-30,US,3,SMU
2008,13,LAC,Los Angeles Clippers,2,Tim Thomas,PF,6-10,230,1977-02-26,US,10,Villanova
2008,13,LAC,Los Angeles Clippers,12,Al Thornton,PF,6-8,220,1983-12-07,US,R,Florida State
2008,13,LAC,Los Angeles Clippers,34,Aaron Williams,C,6-9,220,1971-10-02,US,13,Xavier
2008,13,LAC,Los Angeles Clippers,3,Marcus Williams,PF,6-7,205,1986-11-18,US,R,Arizona
