Season,Team ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
2008,24,PHO,Phoenix Suns,2,Marcus Banks,PG,6-2,200,1981-11-19,US,4,UNLV
2008,24,PHO,Phoenix Suns,10,Leandro Barbosa,SG,6-3,194,1982-11-28,BR,4,
2008,24,PHO,Phoenix Suns,19,Raja Bell,SG,6-5,204,1976-09-19,VI,7,"Boston University, Florida International University"
2008,24,PHO,Phoenix Suns,3,Boris Diaw,PF,6-8,250,1982-04-16,FR,4,
2008,24,PHO,Phoenix Suns,2,Gordan Giricek,SG,6-6,210,1977-06-20,HR,5,
2008,24,PHO,Phoenix Suns,33,Grant Hill,SF,6-8,225,1972-10-05,US,12,Duke
2008,24,PHO,Phoenix Suns,43,Linton Johnson,PF,6-8,205,1980-06-13,US,4,Tulane
2008,24,PHO,Phoenix Suns,31,Shawn Marion,PF,6-7,220,1978-05-07,US,8,UNLV
2008,24,PHO,Phoenix Suns,4,Sean Marks,C,6-10,250,1975-08-23,NZ,7,California
2008,24,PHO,Phoenix Suns,13,Steve Nash,PG,6-3,195,1974-02-07,ZA,11,Santa Clara
2008,24,PHO,Phoenix Suns,32,Shaquille O'Neal,C,7-1,325,1972-03-06,US,15,LSU
2008,24,PHO,Phoenix Suns,52,Eric Piatkowski,SF,6-7,215,1970-09-30,US,13,Nebraska
2008,24,PHO,Phoenix Suns,54,Brian Skinner,C,6-9,255,1976-05-19,US,9,Baylor
2008,24,PHO,Phoenix Suns,1,Amar'e Stoudemire,C,6-10,245,1982-11-16,US,5,
2008,24,PHO,Phoenix Suns,8,D.J. Strawberry,SG,6-5,201,1985-06-15,US,R,Maryland
2008,24,PHO,Phoenix Suns,29,Alando Tucker,SF,6-6,205,1984-02-11,US,R,Wisconsin
