Season,Team ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
2008,30,WAS,Washington Wizards,0,Gilbert Arenas,PG,6-3,191,1982-01-06,US,6,Arizona
2008,30,WAS,Washington Wizards,32,Andray Blatche,PF,6-11,235,1986-08-22,US,2,
2008,30,WAS,Washington Wizards,3,Caron Butler,SF,6-7,228,1980-03-13,US,5,UConn
2008,30,WAS,Washington Wizards,6,Antonio Daniels,PG,6-4,195,1975-03-19,US,10,Bowling Green
2008,30,WAS,Washington Wizards,33,Brendan Haywood,C,7-0,268,1979-11-27,US,6,UNC
2008,30,WAS,Washington Wizards,4,Antawn Jamison,PF,6-8,223,1976-06-12,US,9,UNC
2008,30,WAS,Washington Wizards,8,Roger Mason,PG,6-5,200,1980-09-10,US,3,Virginia
2008,30,WAS,Washington Wizards,5,Dominic McGuire,SG,6-9,220,1985-10-20,US,R,"California, Fresno State"
2008,30,WAS,Washington Wizards,14,Oleksiy Pecherov,C,7-0,232,1985-12-08,UA,R,
2008,30,WAS,Washington Wizards,9,Darius Songaila,C,6-9,248,1978-02-14,LT,4,Wake Forest
2008,30,WAS,Washington Wizards,2,DeShawn Stevenson,SG,6-5,210,1981-04-03,US,7,
2008,30,WAS,Washington Wizards,29,Mike Wilks,PG,5-10,185,1979-05-07,US,5,Rice University
2008,30,WAS,Washington Wizards,1,Nick Young,SG,6-7,210,1985-06-01,US,R,USC
