Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
1989,9,3171,DET,Detroit Pistons,Micheal Williams,1966-07-23,22.0,NBA,PG,49.0,0.0,358.0,6.6,18.1,0.36,0.3,1.3,0.22,6.3,16.9,0.38,4.4,6.6,0.66,1.3,2.5,3.8,9.8,1.8,0.4,5.9,6.2,17.8,87.0,107.0
1990,31,3171,TOT,Total After Trade,Micheal Williams,1966-07-23,23.0,NBA,PG,28.0,1.0,329.0,8.9,17.7,0.5,0.0,0.4,0.0,8.9,17.2,0.52,5.3,6.8,0.78,1.8,3.0,4.8,12.0,3.3,0.1,4.9,5.8,23.2,108.0,109.0
1990,24,3171,PHO,Phoenix Suns,Micheal Williams,1966-07-23,23.0,NBA,PG,6.0,0.0,26.0,3.7,18.3,0.2,0.0,0.0,,3.7,18.3,0.2,1.8,3.7,0.5,1.8,0.0,1.8,7.3,0.0,0.0,9.2,0.0,9.2,50.0,115.0
1990,4,3171,CHO,Charlotte Hornets,Micheal Williams,1966-07-23,23.0,NBA,PG,22.0,1.0,303.0,9.4,17.6,0.53,0.0,0.5,0.0,9.4,17.1,0.55,5.7,7.1,0.8,1.8,3.2,5.0,12.4,3.6,0.2,4.5,6.3,24.4,113.0,109.0
1991,12,3171,IND,Indiana Pacers,Micheal Williams,1966-07-23,24.0,NBA,PG,73.0,37.0,1706.0,7.4,14.8,0.5,0.0,0.2,0.14,7.4,14.6,0.5,8.2,9.3,0.88,1.4,3.6,5.0,9.9,4.2,0.5,4.2,5.7,23.0,118.0,109.0
1992,12,3171,IND,Indiana Pacers,Micheal Williams,1966-07-23,25.0,NBA,PG,79.0,76.0,2750.0,7.1,14.5,0.49,0.1,0.6,0.24,7.0,13.9,0.5,6.6,7.5,0.87,1.3,3.7,5.0,11.4,4.1,0.4,4.2,4.6,20.9,117.0,107.0
1993,18,3171,MIN,Minnesota Timberwolves,Micheal Williams,1966-07-23,26.0,NBA,PG,76.0,76.0,2661.0,6.8,15.2,0.45,0.5,2.1,0.24,6.3,13.1,0.48,8.1,8.9,0.91,1.6,3.6,5.2,12.7,3.2,0.4,4.4,5.2,22.1,116.0,111.0
1994,18,3171,MIN,Minnesota Timberwolves,Micheal Williams,1966-07-23,27.0,NBA,PG,71.0,66.0,2206.0,7.2,15.8,0.46,0.2,1.0,0.22,7.0,14.8,0.47,7.7,9.1,0.84,1.5,3.5,5.1,11.8,2.7,0.6,4.7,4.4,22.3,111.0,109.0
1995,18,3171,MIN,Minnesota Timberwolves,Micheal Williams,1966-07-23,28.0,NBA,PG,1.0,1.0,28.0,1.9,7.5,0.25,0.0,0.0,,1.9,7.5,0.25,7.5,9.4,0.8,0.0,1.9,1.9,5.6,3.8,0.0,5.6,5.6,11.3,81.0,112.0
1996,18,3171,MIN,Minnesota Timberwolves,Micheal Williams,1966-07-23,29.0,NBA,PG,9.0,7.0,189.0,3.5,10.9,0.32,0.3,0.8,0.33,3.3,10.0,0.32,7.6,9.0,0.85,0.8,5.4,6.2,8.4,1.4,0.8,6.2,10.0,14.9,90.0,111.0
1998,18,3171,MIN,Minnesota Timberwolves,Micheal Williams,1966-07-23,31.0,NBA,PG,25.0,0.0,161.0,5.2,15.5,0.33,0.0,1.3,0.0,5.2,14.2,0.36,10.3,10.6,0.97,0.6,3.9,4.5,10.3,2.9,0.6,5.2,7.7,20.6,103.0,107.0
1999,28,3171,TOR,Toronto Raptors,Micheal Williams,1966-07-23,32.0,NBA,PG,2.0,0.0,15.0,3.6,18.0,0.2,0.0,0.0,,3.6,18.0,0.2,0.0,0.0,,3.6,0.0,3.6,0.0,0.0,0.0,3.6,3.6,7.2,48.0,114.0
