SEASON,TEAM ID,TEAM,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1993,24,PHO,Phoenix Suns,82,19730,3494,7093,0.49,398,1095,0.36,3096,5998,0.52,1912,2539,0.75,1141,2510,3651,2087,752,455,1359,1739,9298
1993,4,CHO,Charlotte Hornets,82,19755,3512,7210,0.49,175,537,0.33,3337,6673,0.5,1831,2374,0.77,1095,2508,3603,2161,639,473,1325,1790,9030
1993,10,GSW,Golden State Warriors,82,19905,3474,7212,0.48,298,852,0.35,3176,6360,0.5,1768,2465,0.72,1219,2384,3603,2010,693,383,1451,2056,9014
1993,25,POR,Portland Trail Blazers,82,19905,3361,7343,0.46,275,843,0.33,3086,6500,0.48,1901,2551,0.74,1226,2507,3733,1969,770,425,1215,1892,8898
1993,21,SEA,Seattle Supersonics,82,19780,3473,7140,0.49,218,610,0.36,3255,6530,0.5,1720,2259,0.76,1222,2254,3476,1906,944,409,1267,1971,8884
1993,26,SAC,Sacramento Kings,82,19780,3360,7264,0.46,262,788,0.33,3098,6476,0.48,1865,2447,0.76,1137,2281,3418,2075,768,348,1364,2085,8847
1993,12,IND,Indiana Pacers,82,19755,3371,7022,0.48,257,789,0.33,3114,6233,0.5,1837,2399,0.77,1220,2455,3675,2144,615,403,1256,2045,8836
1993,6,CLE,Cleveland Cavaliers,82,19830,3425,6887,0.5,283,742,0.38,3142,6145,0.51,1699,2119,0.8,929,2496,3425,2349,615,536,1120,1580,8832
1993,1,ALT,Atlanta Hawks,82,19830,3392,7272,0.47,382,1076,0.36,3010,6196,0.49,1648,2221,0.74,1290,2344,3634,2084,806,278,1339,1807,8814
1993,13,LAC,Los Angeles Clippers,82,19805,3544,7329,0.48,133,491,0.27,3411,6838,0.5,1562,2177,0.72,1183,2360,3543,2242,847,491,1338,1920,8783
1993,29,UTA,Utah Jazz,82,19755,3336,6828,0.49,130,414,0.31,3206,6414,0.5,1907,2491,0.77,1041,2463,3504,2177,746,344,1270,1965,8709
1993,22,ORL,Orlando Magic,82,19880,3257,6708,0.49,317,889,0.36,2940,5819,0.5,1821,2495,0.73,1040,2566,3606,1952,542,467,1429,1925,8652
1993,27,SAS,San Antonio Spurs,82,19855,3311,6762,0.49,236,692,0.34,3075,6070,0.51,1794,2346,0.76,919,2542,3461,2012,582,514,1227,1844,8652
1993,8,DEN,Denver Nuggets,82,19830,3352,7282,0.46,138,454,0.3,3214,6828,0.47,1784,2360,0.76,1266,2564,3830,1735,651,565,1413,2039,8626
1993,5,CHI,Chicago Bulls,82,19830,3475,7205,0.48,244,669,0.36,3231,6536,0.49,1431,1952,0.73,1290,2283,3573,2133,783,410,1103,1804,8625
1993,23,PHI,Philadelphia 76Ers,82,19930,3225,7075,0.46,330,941,0.35,2895,6134,0.47,1776,2259,0.79,1031,2431,3462,2038,672,566,1362,1604,8556
1993,14,LAL,Los Angeles Lakers,82,19830,3309,6994,0.47,187,626,0.3,3122,6368,0.49,1741,2304,0.76,1103,2288,3391,2013,782,431,1266,1778,8546
1993,11,HOU,Houston Rockets,82,19780,3280,6744,0.49,387,1073,0.36,2893,5671,0.51,1584,2090,0.76,985,2532,3517,2115,682,543,1295,1699,8531
1993,2,BOS,Boston Celtics,82,19780,3453,7093,0.49,110,383,0.29,3343,6710,0.5,1486,1912,0.78,1076,2436,3512,1999,647,458,1174,1862,8502
1993,16,MIA,Miami Heat,82,20005,3127,6850,0.46,333,940,0.35,2794,5910,0.47,1908,2476,0.77,1134,2384,3518,1688,609,350,1287,2011,8495
1993,3,NJN,New Jersey Nets,82,19780,3272,7084,0.46,155,488,0.32,3117,6596,0.47,1732,2258,0.77,1291,2506,3797,1872,693,526,1355,1892,8431
1993,17,MIL,Milwaukee Bucks,82,19730,3268,6924,0.47,312,936,0.33,2956,5988,0.49,1544,2081,0.74,1050,2113,3163,2084,863,393,1363,1978,8392
1993,30,WAB,Washington Bullets,82,19805,3302,7065,0.47,174,578,0.3,3128,6487,0.48,1575,2107,0.75,1031,2317,3348,2110,673,359,1323,1795,8353
1993,20,NYK,New York Knicks,82,19930,3209,6898,0.46,193,604,0.32,3016,6294,0.48,1717,2316,0.74,1150,2660,3810,2125,680,372,1296,2111,8328
1993,9,DET,Detroit Pistons,82,19780,3267,7211,0.45,292,908,0.32,2975,6303,0.47,1426,1957,0.73,1293,2315,3608,1941,580,249,1152,1747,8252
1993,7,DAL,Dallas Mavericks,82,19730,3164,7271,0.44,283,837,0.34,2881,6434,0.45,1530,2171,0.7,1234,2265,3499,1683,649,355,1459,2302,8141
1993,18,MIN,Minnesota Timberwolves,82,19855,3043,6529,0.47,166,569,0.29,2877,5960,0.48,1794,2247,0.8,940,2204,3144,2001,649,455,1422,2028,8046
