Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1980,6,2491,CLE,Cleveland Cavaliers,30.0,NBA,C,82.0,,2670.0,8.3,16.0,0.52,0.0,0.1,0.0,8.3,15.9,0.52,4.7,5.6,0.84,3.8,7.4,11.2,3.3,0.9,0.9,2.3,3.6,21.4,,119.0,107.0
1981,31,2491,TOT,Total After Trade,31.0,NBA,C,84.0,,2116.0,6.9,15.5,0.45,0.0,0.0,,6.9,15.5,0.45,4.2,5.2,0.81,3.3,7.2,10.5,3.6,0.8,0.7,1.7,3.6,18.0,,112.0,110.0
1981,6,2491,CLE,Cleveland Cavaliers,31.0,NBA,C,11.0,,372.0,4.7,12.5,0.38,0.0,0.0,,4.7,12.5,0.38,3.7,4.6,0.81,3.5,7.4,10.9,5.6,0.9,0.8,1.8,2.7,13.2,,107.0,109.0
1981,8,2491,DEN,Denver Nuggets,31.0,NBA,C,73.0,,1744.0,7.3,16.1,0.46,0.0,0.0,,7.3,16.1,0.46,4.3,5.3,0.81,3.3,7.1,10.4,3.2,0.8,0.7,1.7,3.8,19.0,,113.0,111.0
1982,8,2491,DEN,Denver Nuggets,32.0,NBA,C,12.0,0.0,257.0,8.2,18.0,0.45,0.0,0.0,,8.2,18.0,0.45,8.2,9.4,0.87,2.4,8.3,10.7,5.4,0.5,0.7,2.2,4.9,24.5,,120.0,114.0
1983,8,2491,DEN,Denver Nuggets,33.0,NBA,C,61.0,0.0,711.0,5.8,15.1,0.38,0.0,0.1,0.0,5.8,15.1,0.38,5.5,7.1,0.78,2.0,7.0,9.1,3.2,0.6,0.5,2.7,3.7,17.1,,98.0,110.0
1984,31,2491,TOT,Total After Trade,34.0,NBA,C,31.0,0.0,340.0,4.6,12.7,0.36,0.0,0.0,,4.6,12.7,0.36,2.9,3.4,0.85,2.0,5.7,7.7,2.7,0.4,0.3,1.6,4.8,12.2,,96.0,113.0
1984,8,2491,DEN,Denver Nuggets,34.0,NBA,C,19.0,0.0,141.0,4.0,12.3,0.32,0.0,0.0,,4.0,12.3,0.32,3.4,4.0,0.85,0.3,6.2,6.5,4.0,0.0,0.3,3.4,4.0,11.4,,80.0,115.0
1984,27,2491,SAS,San Antonio Spurs,34.0,NBA,C,4.0,0.0,37.0,4.9,9.7,0.5,0.0,0.0,,4.9,9.7,0.5,0.0,0.0,,2.4,7.3,9.7,1.2,0.0,0.0,1.2,9.7,9.7,,105.0,114.0
1984,26,2491,KCK,Kansas City Kings,34.0,NBA,C,8.0,0.0,162.0,5.2,13.8,0.38,0.0,0.0,,5.2,13.8,0.38,3.2,3.7,0.85,3.5,4.9,8.4,1.7,0.9,0.3,0.0,4.3,13.5,,112.0,111.0
