Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2006,23,2394,PHI,Philadelphia 76Ers,Shavlik Randolph,"November 24, 1983",22.0,NBA,PF,57.0,487.0,12.6,0.51,0.0,0.73,13.2,18.8,16.0,5.9,2.0,1.9,14.1,14.0,0.5,0.5,1.1,0.1,-2.5,-0.4,-2.9,-0.1
2007,23,2394,PHI,Philadelphia 76Ers,Shavlik Randolph,"November 24, 1983",23.0,NBA,PF,13.0,179.0,15.3,0.5,0.0,0.46,12.8,23.4,18.1,3.7,2.1,4.3,13.5,17.2,0.1,0.3,0.4,0.1,-1.3,0.8,-0.5,0.1
2008,23,2394,PHI,Philadelphia 76Ers,Shavlik Randolph,"November 24, 1983",24.0,NBA,PF,9.0,27.0,15.6,0.29,0.0,0.0,39.2,8.9,24.2,17.8,2.0,8.9,12.5,26.7,-0.1,0.0,0.0,-0.01,-3.2,-2.0,-5.1,0.0
2009,25,2394,POR,Portland Trail Blazers,Shavlik Randolph,"November 24, 1983",25.0,NBA,PF,10.0,37.0,19.4,0.61,0.08,0.31,33.0,27.3,30.2,0.0,0.0,2.1,28.9,26.4,0.0,0.0,0.0,0.04,-0.1,-3.6,-3.8,0.0
2010,31,2394,TOT,Total After Trade,Shavlik Randolph,"November 24, 1983",26.0,NBA,PF,6.0,53.0,6.2,0.37,0.0,0.11,15.6,15.6,15.6,3.2,1.0,1.5,13.7,19.5,-0.1,0.1,0.0,-0.01,-6.6,-2.2,-8.8,-0.1
2010,16,2394,MIA,Miami Heat,Shavlik Randolph,"November 24, 1983",26.0,NBA,PF,3.0,47.0,4.9,0.33,0.0,0.0,17.6,14.9,16.3,0.0,1.1,1.7,11.8,17.0,-0.1,0.1,0.0,-0.02,-7.1,-2.2,-9.3,-0.1
2010,25,2394,POR,Portland Trail Blazers,Shavlik Randolph,"November 24, 1983",26.0,NBA,PF,3.0,6.0,16.5,0.52,0.0,0.67,0.0,20.8,10.3,28.6,0.0,0.0,20.5,38.6,0.0,0.0,0.0,0.0,-2.9,-2.1,-5.1,0.0
2013,2,2394,BOS,Boston Celtics,Shavlik Randolph,"November 24, 1983",29.0,NBA,PF,16.0,198.0,15.9,0.56,0.0,0.56,17.2,24.3,20.9,3.3,2.1,2.8,14.3,16.7,0.3,0.4,0.7,0.16,-2.7,-0.8,-3.5,-0.1
2014,24,2394,PHO,Phoenix Suns,Shavlik Randolph,"November 24, 1983",30.0,NBA,PF,14.0,95.0,7.7,0.53,0.0,0.79,8.3,21.2,14.8,1.4,1.6,0.8,21.0,11.0,0.0,0.1,0.1,0.06,-4.8,-0.2,-4.9,-0.1
2015,31,2394,TOT,Total After Trade,Shavlik Randolph,"November 24, 1983",31.0,NBA,PF,21.0,126.0,7.2,0.3,0.14,0.34,13.8,19.3,16.5,4.4,2.0,1.8,6.9,15.1,-0.2,0.2,0.0,-0.0,-4.6,-1.1,-5.7,-0.1
2015,24,2394,PHO,Phoenix Suns,Shavlik Randolph,"November 24, 1983",31.0,NBA,PF,16.0,101.0,6.1,0.29,0.16,0.4,12.9,15.3,14.1,4.0,2.0,1.5,6.4,13.7,-0.1,0.1,0.0,-0.01,-4.8,-1.2,-6.0,-0.1
2015,2,2394,BOS,Boston Celtics,Shavlik Randolph,"November 24, 1983",31.0,NBA,PF,5.0,25.0,11.4,0.32,0.1,0.2,17.3,35.6,26.3,5.9,2.0,3.1,8.4,20.8,0.0,0.1,0.0,0.01,-3.7,-0.7,-4.4,0.0
