Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1990,14.0,753,LAL,Los Angeles Lakers,Vlade Divac,"February 3, 1968",21.0,NBA,C,9.0,1.0,175.0,9.3,12.8,0.73,0.3,0.6,0.5,9.0,12.2,0.74,5.0,5.5,0.9,4.7,9.3,14.0,2.9,2.3,4.4,3.8,7.9,23.9,,132.0,104.0
1991,14.0,753,LAL,Los Angeles Lakers,Vlade Divac,"February 3, 1968",22.0,NBA,C,19.0,19.0,609.0,8.3,14.7,0.56,0.1,0.5,0.17,8.2,14.2,0.58,4.9,6.1,0.8,4.2,6.7,10.9,1.8,2.3,3.5,3.5,5.6,21.6,,114.0,106.0
1992,14.0,753,LAL,Los Angeles Lakers,Vlade Divac,"February 3, 1968",23.0,NBA,C,4.0,4.0,143.0,5.5,15.8,0.35,0.0,0.7,0.0,5.5,15.1,0.37,3.3,3.7,0.9,2.2,5.9,8.1,5.5,1.8,1.1,6.6,6.2,14.3,,74.0,116.0
1993,14.0,753,LAL,Los Angeles Lakers,Vlade Divac,"February 3, 1968",24.0,NBA,C,5.0,5.0,167.0,11.5,23.0,0.5,1.2,2.8,0.44,10.3,20.2,0.51,3.7,6.9,0.55,5.3,9.3,14.6,8.7,1.9,3.7,3.4,6.9,28.0,,113.0,103.0
1995,14.0,753,LAL,Los Angeles Lakers,Vlade Divac,"February 3, 1968",26.0,NBA,C,10.0,10.0,388.0,8.0,17.1,0.47,0.3,1.3,0.22,7.7,15.9,0.49,5.6,8.7,0.64,4.8,7.2,11.9,4.3,1.1,1.8,3.9,6.2,21.9,,104.0,106.0
1996,14.0,753,LAL,Los Angeles Lakers,Vlade Divac,"February 3, 1968",27.0,NBA,C,4.0,4.0,115.0,6.7,15.6,0.43,0.4,2.2,0.2,6.3,13.4,0.47,2.2,3.6,0.62,4.9,8.5,13.4,3.6,0.0,2.2,3.6,4.5,16.1,,95.0,104.0
1997,,753,CHH,None,Vlade Divac,"February 3, 1968",28.0,NBA,C,3.0,3.0,116.0,10.0,21.9,0.46,0.0,1.4,0.0,10.0,20.4,0.49,5.7,7.1,0.8,6.2,6.2,12.4,4.8,1.4,2.9,2.9,5.2,25.7,,114.0,117.0
1998,,753,CHH,None,Vlade Divac,"February 3, 1968",29.0,NBA,C,9.0,9.0,345.0,7.0,14.5,0.48,0.0,0.2,0.0,7.0,14.3,0.49,3.3,5.5,0.61,4.2,12.1,16.3,5.2,1.2,2.3,3.7,5.7,17.3,,100.0,101.0
1999,26.0,753,SAC,Sacramento Kings,Vlade Divac,"February 3, 1968",30.0,NBA,C,5.0,5.0,198.0,6.8,15.3,0.45,0.3,1.4,0.2,6.5,13.9,0.47,8.2,9.8,0.83,2.5,11.2,13.6,6.3,2.2,1.1,5.2,4.6,22.1,,105.0,100.0
2001,26.0,753,SAC,Sacramento Kings,Vlade Divac,"February 3, 1968",32.0,NBA,C,8.0,8.0,225.0,6.2,17.7,0.35,0.2,0.7,0.33,6.0,17.1,0.35,6.4,8.4,0.76,4.4,10.4,14.9,4.2,1.8,2.7,4.0,5.5,19.1,,95.0,97.0
2002,26.0,753,SAC,Sacramento Kings,Vlade Divac,"February 3, 1968",33.0,NBA,C,16.0,16.0,535.0,6.7,14.4,0.46,0.2,0.7,0.29,6.5,13.8,0.47,7.1,9.4,0.76,4.4,9.8,14.2,2.6,1.7,1.9,3.5,7.3,20.6,,109.0,100.0
2003,26.0,753,SAC,Sacramento Kings,Vlade Divac,"February 3, 1968",34.0,NBA,C,12.0,12.0,317.0,8.2,14.6,0.56,0.0,0.0,,8.2,14.6,0.56,5.6,8.3,0.67,4.8,6.2,11.0,4.3,1.3,1.8,2.6,6.1,21.9,,123.0,110.0
2004,26.0,753,SAC,Sacramento Kings,Vlade Divac,"February 3, 1968",35.0,NBA,C,12.0,12.0,235.0,6.8,15.5,0.44,0.0,0.0,,6.8,15.5,0.44,3.7,5.0,0.74,4.8,8.1,12.9,4.8,0.9,1.1,3.1,6.8,17.3,,101.0,102.0
