Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1988,6,792,CLE,Cleveland Cavaliers,Chris Dudley,"February 22, 1965",22.0,NBA,C,4.0,0.0,24.0,3.0,6.0,0.5,0.0,0.0,,3.0,6.0,0.5,1.5,3.0,0.5,6.0,3.0,9.0,3.0,0.0,0.0,1.5,4.5,7.5
1989,6,792,CLE,Cleveland Cavaliers,Chris Dudley,"February 22, 1965",23.0,NBA,C,1.0,0.0,4.0,0.0,9.0,0.0,0.0,0.0,,0.0,9.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0
1992,3,792,NJN,New Jersey Nets,Chris Dudley,"February 22, 1965",26.0,NBA,C,4.0,0.0,77.0,2.3,6.5,0.36,0.0,0.0,,2.3,6.5,0.36,1.9,3.7,0.5,6.1,5.6,11.7,1.4,0.9,4.7,0.5,6.5,6.5
1994,25,792,POR,Portland Trail Blazers,Chris Dudley,"February 22, 1965",28.0,NBA,C,4.0,2.0,81.0,1.8,4.4,0.4,0.0,0.0,,1.8,4.4,0.4,0.4,0.9,0.5,2.2,4.4,6.7,0.0,2.7,0.0,0.4,7.1,4.0
1995,25,792,POR,Portland Trail Blazers,Chris Dudley,"February 22, 1965",29.0,NBA,C,3.0,3.0,59.0,1.2,1.8,0.67,0.0,0.0,,1.2,1.8,0.67,1.8,4.9,0.38,3.7,5.5,9.2,0.6,0.0,0.6,1.8,4.9,4.3
1996,25,792,POR,Portland Trail Blazers,Chris Dudley,"February 22, 1965",30.0,NBA,C,5.0,0.0,92.0,2.0,5.1,0.38,0.0,0.0,,2.0,5.1,0.38,1.6,2.3,0.67,3.5,7.0,10.6,0.4,0.8,0.8,1.6,7.0,5.5
1997,25,792,POR,Portland Trail Blazers,Chris Dudley,"February 22, 1965",31.0,NBA,C,4.0,0.0,69.0,2.6,5.7,0.46,0.0,0.0,,2.6,5.7,0.46,1.0,3.1,0.33,5.2,9.4,14.6,1.6,1.0,2.6,0.0,9.9,6.3
1998,20,792,NYK,New York Knicks,Chris Dudley,"February 22, 1965",32.0,NBA,C,6.0,3.0,53.0,2.0,6.1,0.33,0.0,0.0,,2.0,6.1,0.33,1.4,2.7,0.5,4.1,8.2,12.2,0.0,1.4,0.7,1.4,10.9,5.4
1999,20,792,NYK,New York Knicks,Chris Dudley,"February 22, 1965",33.0,NBA,C,18.0,6.0,294.0,2.0,4.7,0.42,0.0,0.0,,2.0,4.7,0.42,1.3,3.4,0.39,3.3,6.7,10.0,0.6,1.1,1.0,1.1,7.7,5.3
2001,24,792,PHO,Phoenix Suns,Chris Dudley,"February 22, 1965",35.0,NBA,C,3.0,0.0,26.0,1.4,2.8,0.5,0.0,0.0,,1.4,2.8,0.5,0.0,0.0,,4.2,5.5,9.7,0.0,1.4,1.4,5.5,1.4,2.8
2002,25,792,POR,Portland Trail Blazers,Chris Dudley,"February 22, 1965",36.0,NBA,C,2.0,0.0,3.0,0.0,12.0,0.0,0.0,0.0,,0.0,12.0,0.0,0.0,0.0,,0.0,24.0,24.0,0.0,0.0,0.0,12.0,12.0,0.0
