Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1988,20,885,NYK,New York Knicks,Patrick Ewing,1962-08-05,25.0,NBA,C,4.0,4.0,153.0,28.0,57.0,0.49,0.0,1.0,0.0,28.0,56.0,0.5,0.49,19.0,22.0,0.86,16.0,35.0,51.0,10.0,6.0,13.0,11.0,17.0,75.0
1989,20,885,NYK,New York Knicks,Patrick Ewing,1962-08-05,26.0,NBA,C,9.0,9.0,340.0,70.0,144.0,0.49,0.0,0.0,,70.0,144.0,0.49,0.49,39.0,52.0,0.75,23.0,67.0,90.0,20.0,9.0,18.0,15.0,35.0,179.0
1990,20,885,NYK,New York Knicks,Patrick Ewing,1962-08-05,27.0,NBA,C,10.0,10.0,395.0,114.0,219.0,0.52,1.0,2.0,0.5,113.0,217.0,0.52,0.52,65.0,79.0,0.82,21.0,84.0,105.0,31.0,13.0,20.0,27.0,41.0,294.0
1991,20,885,NYK,New York Knicks,Patrick Ewing,1962-08-05,28.0,NBA,C,3.0,3.0,110.0,18.0,45.0,0.4,0.0,0.0,,18.0,45.0,0.4,0.4,14.0,18.0,0.78,2.0,28.0,30.0,6.0,1.0,5.0,11.0,12.0,50.0
1992,20,885,NYK,New York Knicks,Patrick Ewing,1962-08-05,29.0,NBA,C,12.0,12.0,482.0,109.0,239.0,0.46,0.0,1.0,0.0,109.0,238.0,0.46,0.46,54.0,73.0,0.74,33.0,100.0,133.0,27.0,7.0,31.0,23.0,49.0,272.0
1993,20,885,NYK,New York Knicks,Patrick Ewing,1962-08-05,30.0,NBA,C,15.0,15.0,604.0,165.0,322.0,0.51,1.0,1.0,1.0,164.0,321.0,0.51,0.51,51.0,80.0,0.64,43.0,121.0,164.0,36.0,17.0,31.0,39.0,60.0,382.0
1994,20,885,NYK,New York Knicks,Patrick Ewing,1962-08-05,31.0,NBA,C,25.0,25.0,1032.0,210.0,481.0,0.44,4.0,11.0,0.36,206.0,470.0,0.44,0.44,123.0,163.0,0.76,88.0,205.0,293.0,65.0,32.0,76.0,83.0,94.0,547.0
1995,20,885,NYK,New York Knicks,Patrick Ewing,1962-08-05,32.0,NBA,C,11.0,11.0,399.0,80.0,156.0,0.51,1.0,3.0,0.33,79.0,153.0,0.52,0.52,48.0,70.0,0.69,17.0,89.0,106.0,27.0,6.0,25.0,30.0,51.0,209.0
1996,20,885,NYK,New York Knicks,Patrick Ewing,1962-08-05,33.0,NBA,C,8.0,8.0,328.0,65.0,137.0,0.47,1.0,2.0,0.5,64.0,135.0,0.47,0.48,41.0,63.0,0.65,11.0,74.0,85.0,15.0,1.0,25.0,30.0,22.0,172.0
1997,20,885,NYK,New York Knicks,Patrick Ewing,1962-08-05,34.0,NBA,C,9.0,9.0,357.0,88.0,167.0,0.53,0.0,1.0,0.0,88.0,166.0,0.53,0.53,27.0,42.0,0.64,26.0,69.0,95.0,17.0,3.0,22.0,27.0,30.0,203.0
1998,20,885,NYK,New York Knicks,Patrick Ewing,1962-08-05,35.0,NBA,C,4.0,4.0,132.0,20.0,56.0,0.36,0.0,0.0,,20.0,56.0,0.36,0.36,16.0,27.0,0.59,9.0,23.0,32.0,5.0,3.0,5.0,10.0,16.0,56.0
1999,20,885,NYK,New York Knicks,Patrick Ewing,1962-08-05,36.0,NBA,C,11.0,11.0,347.0,58.0,135.0,0.43,0.0,0.0,,58.0,135.0,0.43,0.43,28.0,36.0,0.78,14.0,82.0,96.0,6.0,7.0,8.0,10.0,35.0,144.0
2000,20,885,NYK,New York Knicks,Patrick Ewing,1962-08-05,37.0,NBA,C,14.0,14.0,461.0,71.0,170.0,0.42,0.0,0.0,,71.0,170.0,0.42,0.42,62.0,89.0,0.7,29.0,104.0,133.0,6.0,16.0,20.0,27.0,48.0,204.0
2002,22,885,ORL,Orlando Magic,Patrick Ewing,1962-08-05,39.0,NBA,C,4.0,0.0,67.0,8.0,25.0,0.32,0.0,1.0,0.0,8.0,24.0,0.33,0.32,10.0,17.0,0.59,5.0,17.0,22.0,4.0,1.0,4.0,2.0,12.0,26.0
