PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Moses Malone,28,5,,212,6.5,14.1,0.45799999999999996,0.0,0.0,,6.5,14.1,0.45799999999999996,5.3,5.4,0.9690000000000001,3.4,8.3,11.7,1.2,0.5,1.9,3.6,2.5,18.2
Julius Erving,33,5,,194,6.7,14.1,0.474,0.0,0.2,0.0,6.7,13.9,0.48,3.5,4.1,0.8640000000000001,1.7,4.3,5.9,4.6,1.5,1.1,3.9,2.6,16.9
Andrew Toney,26,5,,180,8.0,15.4,0.519,0.0,1.0,0.0,8.0,14.4,0.556,4.6,6.0,0.767,1.0,1.2,2.2,3.8,0.8,0.2,5.0,4.8,20.6
Maurice Cheeks,27,5,,171,7.4,14.1,0.522,0.0,0.2,0.0,7.4,13.9,0.53,2.7,3.2,0.867,0.4,2.1,2.5,4.0,2.7,0.0,2.1,3.8,17.5
Bobby Jones,32,5,,130,4.2,8.6,0.484,0.0,0.0,,4.2,8.6,0.484,5.0,5.3,0.9470000000000001,2.5,3.9,6.4,2.5,0.8,1.9,2.2,3.3,13.3
Clint Richardson,27,5,,115,4.1,7.2,0.565,0.0,0.0,,4.1,7.2,0.565,3.4,3.8,0.917,1.3,3.8,5.0,3.1,0.9,0.3,1.3,5.3,11.6
Marc Iavaroni,27,4,,64,3.9,8.4,0.467,0.6,1.1,0.5,3.4,7.3,0.462,3.9,4.5,0.875,1.7,2.8,4.5,1.7,0.6,0.6,2.8,10.1,12.4
Sam Williams,24,4,,55,1.3,5.2,0.25,0.0,0.0,,1.3,5.2,0.25,0.7,1.3,0.5,0.7,3.3,3.9,2.0,1.3,3.9,3.3,4.6,3.3
Clemon Johnson,27,5,,45,3.2,9.6,0.33299999999999996,0.0,0.0,,3.2,9.6,0.33299999999999996,0.0,0.0,,2.4,2.4,4.8,0.0,0.8,3.2,2.4,6.4,6.4
Wes Matthews,24,4,,23,6.3,12.5,0.5,1.6,3.1,0.5,4.7,9.4,0.5,1.6,3.1,0.5,0.0,0.0,0.0,6.3,1.6,0.0,6.3,6.3,15.7
Sedale Threatt,22,3,,6,6.0,18.0,0.33299999999999996,0.0,12.0,0.0,6.0,6.0,1.0,0.0,0.0,,6.0,6.0,12.0,6.0,6.0,0.0,12.0,0.0,12.0
Leo Rautins,23,3,,5,7.2,21.6,0.33299999999999996,7.2,14.4,0.5,0.0,7.2,0.0,0.0,0.0,,14.4,0.0,14.4,7.2,7.2,0.0,0.0,14.4,21.6
