PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Alex English,30,5,,203,10.6,18.1,0.588,0.0,0.2,0.0,10.6,17.9,0.594,4.4,5.0,0.893,2.8,4.3,7.1,5.0,0.5,0.4,1.2,3.0,25.7
Kiki Vandeweghe,25,5,,180,9.8,19.2,0.51,0.4,1.0,0.4,9.4,18.2,0.516,5.4,5.6,0.9640000000000001,1.2,3.4,4.6,4.0,1.8,1.0,2.0,2.8,25.4
T.R. Dunn,28,5,,178,2.8,5.1,0.56,0.0,0.0,,2.8,5.1,0.56,1.0,1.4,0.7140000000000001,4.0,3.8,7.9,1.6,2.0,0.8,1.6,3.8,6.7
Dan Issel,35,5,,153,12.2,24.0,0.51,0.2,0.5,0.5,12.0,23.5,0.51,7.5,9.2,0.821,2.4,7.1,9.4,1.9,1.4,1.4,3.5,3.5,32.2
Rob Williams,22,5,,149,5.1,11.4,0.447,1.2,3.1,0.385,3.9,8.2,0.47100000000000003,2.4,2.9,0.833,1.2,3.4,4.6,5.8,0.7,0.2,1.9,4.6,13.8
Bill Hanzlik,26,5,,82,4.8,8.3,0.579,0.0,0.9,0.0,4.8,7.5,0.647,2.6,2.6,1.0,1.3,2.2,3.5,9.2,1.3,0.0,2.6,7.0,12.3
Danny Schayes,24,5,,81,4.9,8.0,0.611,0.0,0.0,,4.9,8.0,0.611,2.7,3.6,0.75,1.3,9.3,10.7,1.8,1.8,1.3,3.1,8.9,12.4
Mike Evans,28,5,,77,4.2,13.1,0.321,0.5,3.7,0.125,3.7,9.4,0.4,1.9,1.9,1.0,0.5,0.9,1.4,5.6,0.0,0.0,3.7,6.1,10.8
Howard Carter,22,5,,60,4.2,13.2,0.318,0.6,3.0,0.2,3.6,10.2,0.353,0.0,0.0,,0.6,2.4,3.0,3.0,2.4,0.6,3.0,1.8,9.0
Richard Anderson,23,4,,37,5.8,14.6,0.4,0.0,1.0,0.0,5.8,13.6,0.429,3.9,5.8,0.667,1.0,7.8,8.8,4.9,0.0,1.0,1.0,5.8,15.6
