PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Sidney Moncrief,26,16,,618,5.8,11.1,0.518,0.1,0.2,0.25,5.7,10.9,0.524,6.2,7.8,0.7909999999999999,2.6,3.9,6.5,4.0,1.6,0.5,3.6,3.1,17.8
Marques Johnson,27,16,,605,7.7,16.2,0.473,0.1,0.2,0.25,7.6,16.0,0.47600000000000003,3.9,5.4,0.722,1.7,3.3,5.1,3.3,1.0,0.4,2.6,3.0,19.3
Junior Bridgeman,30,16,,499,6.3,13.9,0.456,0.1,0.6,0.111,6.3,13.3,0.473,3.8,4.7,0.815,0.9,3.8,4.6,3.2,0.4,0.4,1.6,2.7,16.6
Bob Lanier,35,16,,499,5.9,12.3,0.48,0.0,0.0,,5.9,12.3,0.48,2.8,3.2,0.8859999999999999,2.3,6.1,8.4,4.0,0.8,0.7,2.7,4.1,14.6
Mike Dunleavy,29,15,,393,5.4,11.8,0.457,1.6,4.6,0.36,3.8,7.2,0.519,3.0,3.3,0.917,0.9,2.3,3.2,4.2,1.6,0.0,3.2,5.4,15.5
Alton Lister,25,16,,368,3.8,7.6,0.5,0.0,0.0,,3.8,7.6,0.5,2.9,4.7,0.625,2.5,6.8,9.4,1.0,0.5,2.3,2.6,6.2,10.6
Paul Pressey,25,16,,351,5.3,10.3,0.52,0.0,0.3,0.0,5.3,9.9,0.536,3.9,5.7,0.679,1.7,4.3,6.1,5.1,2.3,0.9,3.9,5.4,14.6
Paul Mokeski,27,16,,322,3.8,7.0,0.54,0.0,0.2,0.0,3.8,6.8,0.557,3.4,5.0,0.667,2.2,7.6,9.8,0.7,1.0,1.2,1.1,6.9,11.0
Lorenzo Romar,25,13,,67,4.8,10.7,0.45,0.0,1.6,0.0,4.8,9.1,0.529,3.8,5.9,0.636,0.0,1.6,1.6,8.1,0.0,0.0,2.7,4.8,13.4
Randy Breuer,23,12,,66,6.0,14.2,0.423,0.0,0.0,,6.0,14.2,0.423,1.6,2.7,0.6,3.3,6.0,9.3,2.2,0.0,3.3,1.1,9.8,13.6
Kevin Grevey,30,5,,27,2.7,12.0,0.222,0.0,0.0,,2.7,12.0,0.222,5.3,8.0,0.667,0.0,2.7,2.7,1.3,0.0,0.0,1.3,1.3,10.7
Harvey Catchings,32,5,,25,1.4,2.9,0.5,0.0,0.0,,1.4,2.9,0.5,1.4,2.9,0.5,2.9,4.3,7.2,1.4,0.0,0.0,2.9,10.1,4.3
