TEAM,W,L,W/L%,GB,PS/G,PA/G,SRS
DEN,44,38,.537,—,100.3,100.1,0.36
UTA,41,41,.500,3.0,92.4,95.0,-2.49
SEA,35,47,.427,9.0,102.6,105.6,-2.88
MIN,33,49,.402,11.0,91.7,93.6,-1.75
POR,21,61,.256,23.0,88.8,98.3,-8.91
PHO,54,28,.659,—,108.4,102.8,5.48
LAC,47,35,.573,7.0,97.2,95.6,1.75
LAL,45,37,.549,9.0,99.4,96.9,2.53
SAC,44,38,.537,10.0,98.9,97.3,1.61
GSW,34,48,.415,20.0,98.5,99.8,-1.11
SAS,63,19,.768,—,95.6,88.8,6.69
DAL,60,22,.732,3.0,99.1,93.1,5.96
MEM,49,33,.598,14.0,92.2,88.5,3.74
NOK,38,44,.463,25.0,92.8,95.6,-2.51
HOU,34,48,.415,29.0,90.1,91.7,-1.30
