TEAM,W,L,W/L%,GB,PS/G,PA/G,SRS
MIA,52,30,.634,—,94.4,91.3,2.75
NYK,50,32,.610,2.0,92.1,90.7,1.30
PHI,49,33,.598,3.0,94.8,93.4,1.02
ORL,41,41,.500,11.0,100.1,99.4,0.43
BOS,35,47,.427,17.0,99.3,100.1,-1.00
NJN,31,51,.378,21.0,98.0,99.0,-1.18
WAS,29,53,.354,23.0,96.6,99.9,-3.47
IND,56,26,.683,—,101.3,96.7,4.15
CHO,49,33,.598,7.0,98.4,95.8,2.33
TOR,45,37,.549,11.0,97.2,97.3,-0.46
DET,42,40,.512,14.0,103.5,102.0,1.13
MIL,42,40,.512,14.0,101.2,101.0,-0.06
CLE,32,50,.390,24.0,97.0,100.5,-3.64
ALT,28,54,.341,28.0,94.3,99.7,-5.41
CHI,17,65,.207,39.0,84.8,94.2,-9.23
