SEASON,TEAM ID,TEAM,W,L,W/L%,GB,PS/G,PA/G,SRS
1990,23,PHI,53,29,.646,—,110.2,105.2,4.23
1990,2,BOS,52,30,.634,1.0,110.0,106.0,3.23
1990,20,NYK,45,37,.549,8.0,108.3,106.9,0.78
1990,30,WAB,31,51,.378,22.0,107.7,109.9,-2.43
1990,16,MIA,18,64,.220,35.0,100.6,110.3,-9.59
1990,3,NJN,17,65,.207,36.0,100.1,108.0,-7.82
1990,9,DET,59,23,.720,—,104.3,98.3,5.41
1990,5,CHI,55,27,.671,4.0,109.5,106.2,2.74
1990,17,MIL,44,38,.537,15.0,106.0,106.8,-1.06
1990,6,CLE,42,40,.512,17.0,102.6,102.9,-0.62
1990,12,IND,42,40,.512,17.0,109.3,109.1,-0.18
1990,1,ALT,41,41,.500,18.0,108.5,107.5,0.64
1990,22,ORL,18,64,.220,41.0,110.9,119.8,-8.73
