TEAM,W,L,W/L%,GB,PS/G,PA/G,SRS
LAL,52,19,0.73,—,113.4,107.6,6.28
LAC,49,23,0.68,3.5,116.3,109.9,6.66
DEN,46,27,0.63,7.0,111.3,109.2,2.35
HOU,44,28,0.61,8.5,117.8,114.8,3.13
OKC,44,28,0.61,8.5,110.4,108.4,2.33
UTA,44,28,0.61,8.5,111.3,108.8,2.52
DAL,43,32,0.57,11.0,117.0,112.1,4.87
POR,35,39,0.47,18.5,115.0,116.1,-0.61
MEM,34,39,0.47,19.0,112.6,113.7,-0.91
PHO,34,39,0.47,19.0,113.6,113.4,0.56
SAS,32,39,0.45,20.0,114.1,115.2,-0.65
SAC,31,41,0.43,21.5,110.1,112.1,-1.59
NOP,30,42,0.42,22.5,115.8,117.1,-0.55
MIN,19,45,0.3,29.5,113.3,117.5,-4.02
GSW,15,50,0.23,34.0,106.3,115.0,-8.12
