SEASON,TEAM ID,TEAM,W,L,W/L%,GB,PS/G,PA/G,SRS
2013,21,OKC,60,22,.732,—,105.7,96.5,9.15
2013,8,DEN,57,25,.695,3.0,106.1,101.1,5.37
2013,29,UTA,43,39,.524,17.0,98.0,98.1,0.30
2013,25,POR,33,49,.402,27.0,97.5,100.7,-2.53
2013,18,MIN,31,51,.378,29.0,95.7,98.1,-1.83
2013,13,LAC,56,26,.683,—,101.1,94.6,6.43
2013,10,GSW,47,35,.573,9.0,101.2,100.3,1.32
2013,14,LAL,45,37,.549,11.0,102.2,101.0,1.48
2013,26,SAC,28,54,.341,28.0,100.2,105.1,-4.26
2013,24,PHO,25,57,.305,31.0,95.2,101.6,-5.75
2013,27,SAS,58,24,.707,—,103.0,96.6,6.67
2013,15,MEM,56,26,.683,2.0,93.4,89.3,4.32
2013,11,HOU,45,37,.549,13.0,106.0,102.5,3.69
2013,7,DAL,41,41,.500,17.0,101.1,101.7,-0.24
2013,19,NOH,27,55,.329,31.0,94.1,97.9,-3.12
