TEAM,W,L,W/L%,GB,PS/G,PA/G,SRS
SAS,37,13,.740,—,92.8,84.7,7.12
UTA,37,13,.740,—,93.3,86.8,5.54
HOU,31,19,.620,6.0,94.2,91.9,1.39
MIN,25,25,.500,12.0,92.9,92.6,-0.17
DAL,19,31,.380,18.0,91.6,94.0,-2.50
DEN,14,36,.280,23.0,93.5,100.1,-6.67
VAN,8,42,.160,29.0,88.9,97.5,-8.94
POR,35,15,.700,—,94.8,88.5,5.67
LAL,31,19,.620,4.0,99.0,96.0,2.68
PHO,27,23,.540,8.0,95.6,93.3,2.15
SAC,27,23,.540,8.0,100.2,100.6,-0.89
SEA,25,25,.500,10.0,94.9,95.9,-1.43
GSW,21,29,.420,14.0,88.3,90.8,-2.63
LAC,9,41,.180,26.0,90.4,99.2,-8.94
