TEAM,W,L,W/L%,GB,PS/G,PA/G,SRS
SAS,58,24,.707,—,96.2,88.4,7.92
UTA,53,29,.646,5.0,97.1,92.4,5.00
DAL,53,29,.646,5.0,100.5,96.2,4.61
MIN,47,35,.573,11.0,97.3,96.0,1.81
HOU,45,37,.549,13.0,97.2,94.9,2.71
DEN,40,42,.488,18.0,96.6,99.0,-1.83
VAN,23,59,.280,35.0,91.7,97.5,-4.94
LAL,56,26,.683,—,100.6,97.2,3.74
SAC,55,27,.671,1.0,101.7,95.9,6.07
PHO,51,31,.622,5.0,94.0,91.8,2.63
POR,50,32,.610,6.0,95.4,91.2,4.52
SEA,44,38,.537,12.0,97.3,97.3,0.55
LAC,31,51,.378,25.0,92.5,95.3,-2.23
GSW,17,65,.207,39.0,92.5,101.5,-8.11
