TEAM,W,L,W/L%,GB,PS/G,PA/G,SRS
NYK,52,30,.634,—,116.7,112.9,3.62
PHI,46,36,.561,6.0,111.9,110.4,1.68
BOS,42,40,.512,10.0,109.2,108.1,1.26
WAB,40,42,.488,12.0,108.3,110.4,-1.77
NJN,26,56,.317,26.0,103.7,110.1,-5.69
CHO,20,62,.244,32.0,104.5,113.0,-7.74
DET,63,19,.768,—,106.6,100.8,6.24
CLE,57,25,.695,6.0,108.8,101.2,7.95
ALT,52,30,.634,11.0,111.0,106.1,5.26
MIL,49,33,.598,14.0,108.9,105.3,4.11
CHI,47,35,.573,16.0,106.4,105.0,2.13
IND,28,54,.341,35.0,106.9,111.1,-3.00
