TEAM,W,L,W/L%,GB,PS/G,PA/G,SRS
SAS,59,23,.720,—,103.4,97.1,5.98
UTA,55,27,.671,4.0,102.5,95.9,6.25
HOU,48,34,.585,11.0,102.5,100.7,1.63
DEN,35,47,.427,24.0,97.7,100.4,-2.62
MIN,26,56,.317,33.0,97.9,103.2,-5.14
DAL,26,56,.317,33.0,102.5,107.5,-4.71
VAN,15,67,.183,44.0,89.8,99.8,-9.55
SEA,64,18,.780,—,104.5,96.7,7.40
LAL,53,29,.646,11.0,102.9,98.5,4.21
POR,44,38,.537,20.0,99.3,97.0,2.21
PHO,41,41,.500,23.0,104.3,104.0,0.28
SAC,39,43,.476,25.0,99.5,102.3,-2.62
GSW,36,46,.439,28.0,101.6,103.1,-1.42
LAC,29,53,.354,35.0,99.4,103.0,-3.46
