TEAM,W,L,W/L%,GB,PS/G,PA/G,SRS
PHI,56,26,.683,—,94.7,90.4,3.64
MIA,50,32,.610,6.0,88.9,86.6,1.73
NYK,48,34,.585,8.0,88.7,86.1,1.98
ORL,43,39,.524,13.0,97.5,96.5,0.39
BOS,36,46,.439,20.0,94.6,96.8,-2.40
NJN,26,56,.317,30.0,92.1,97.1,-5.30
WAS,19,63,.232,37.0,93.2,99.9,-6.75
MIL,52,30,.634,—,100.7,96.9,3.14
TOR,47,35,.573,5.0,97.6,95.4,1.69
CHO,46,36,.561,6.0,91.9,89.8,1.45
IND,41,41,.500,11.0,92.6,92.8,-0.77
DET,32,50,.390,20.0,95.6,97.3,-2.08
CLE,30,52,.366,22.0,92.2,96.5,-4.48
ALT,25,57,.305,27.0,91.0,96.2,-5.55
CHI,15,67,.183,37.0,87.6,96.7,-9.09
