TEAM,W,L,W/L%,GB,PS/G,PA/G,SRS
GSW,67,15,0.82,—,115.9,104.3,11.35
SAS,61,21,0.74,6.0,105.3,98.1,7.13
HOU,55,27,0.67,12.0,115.3,109.6,5.84
LAC,51,31,0.62,16.0,108.7,104.4,4.42
UTA,51,31,0.62,16.0,100.7,96.8,4.0
OKC,47,35,0.57,20.0,106.6,105.8,1.14
MEM,43,39,0.52,24.0,100.5,100.0,0.96
POR,41,41,0.5,26.0,107.9,108.5,-0.23
DEN,40,42,0.49,27.0,111.7,111.2,0.7
NOP,34,48,0.42,33.0,104.3,106.4,-1.69
DAL,33,49,0.4,34.0,97.9,100.8,-2.53
SAC,32,50,0.39,35.0,102.8,106.7,-3.29
MIN,31,51,0.38,36.0,105.6,106.7,-0.64
LAL,26,56,0.32,41.0,104.6,111.5,-6.29
PHO,24,58,0.29,43.0,107.7,113.3,-5.14
