TEAM,W,L,W/L%,GB,PS/G,PA/G,SRS
UTA,51,31,.622,—,101.5,98.6,3.06
DEN,45,37,.549,6.0,105.4,103.7,1.69
POR,32,50,.390,19.0,94.1,98.4,-3.78
MIN,32,50,.390,19.0,96.1,99.7,-3.16
SEA,31,51,.378,20.0,99.1,102.0,-2.45
PHO,61,21,.744,—,110.2,102.9,7.28
LAL,42,40,.512,19.0,103.3,103.4,0.24
GSW,42,40,.512,19.0,106.5,106.9,0.00
LAC,40,42,.488,21.0,95.6,96.1,-0.07
SAC,33,49,.402,28.0,101.3,103.1,-1.35
DAL,67,15,.817,—,100.0,92.8,7.28
SAS,58,24,.707,9.0,98.5,90.1,8.35
HOU,52,30,.634,15.0,97.0,92.1,5.04
NOK,39,43,.476,28.0,95.5,97.1,-1.19
MEM,22,60,.268,45.0,101.6,106.7,-4.44
