TEAM,W,L,W/L%,GB,PS/G,PA/G,SRS
POR,51,31,.622,—,102.8,98.6,4.41
OKC,45,37,.549,6.0,104.0,101.8,2.47
UTA,38,44,.463,13.0,95.1,94.9,0.71
DEN,30,52,.366,21.0,101.5,105.0,-3.07
MIN,16,66,.195,35.0,97.8,106.5,-8.00
GSW,67,15,.817,—,110.0,99.9,10.01
LAC,56,26,.683,11.0,106.7,100.1,6.80
PHO,39,43,.476,28.0,102.4,103.3,-0.38
SAC,29,53,.354,38.0,101.3,105.0,-3.07
LAL,21,61,.256,46.0,98.5,105.3,-6.17
HOU,56,26,.683,—,103.9,100.5,3.82
MEM,55,27,.671,1.0,98.3,95.1,3.62
SAS,55,27,.671,1.0,103.2,97.0,6.34
DAL,50,32,.610,6.0,105.2,102.3,3.36
NOP,45,37,.549,11.0,99.4,98.6,1.13
