SEASON,TEAM ID,TEAM,W,L,W/L%,GB,PS/G,PA/G,SRS
2010,8,DEN,53,29,.646,—,106.5,102.4,4.15
2010,29,UTA,53,29,.646,—,104.2,98.9,5.33
2010,25,POR,50,32,.610,3.0,98.1,94.8,3.18
2010,21,OKC,50,32,.610,3.0,101.5,98.0,3.55
2010,18,MIN,15,67,.183,38.0,98.2,107.8,-9.06
2010,14,LAL,57,25,.695,—,101.7,97.0,4.78
2010,24,PHO,54,28,.659,3.0,110.2,105.3,4.67
2010,13,LAC,29,53,.354,28.0,95.7,102.1,-6.01
2010,10,GSW,26,56,.317,31.0,108.8,112.4,-3.28
2010,26,SAC,25,57,.305,32.0,100.0,104.4,-4.06
2010,7,DAL,55,27,.671,—,102.0,99.3,2.66
2010,27,SAS,50,32,.610,5.0,101.4,96.3,5.07
2010,11,HOU,42,40,.512,13.0,102.4,102.7,-0.02
2010,15,MEM,40,42,.488,15.0,102.5,104.0,-1.39
2010,19,NOH,37,45,.451,18.0,100.2,102.7,-2.27
