SEASON,TEAM ID,TEAM,W,L,W/L%,GB,PS/G,PA/G,SRS
1997,16,MIA,61,21,.744,—,94.8,89.3,5.56
1997,20,NYK,57,25,.695,4.0,95.4,92.2,3.31
1997,22,ORL,45,37,.549,16.0,94.1,94.5,-0.07
1997,30,WAB,44,38,.537,17.0,99.4,97.7,1.77
1997,3,NJN,26,56,.317,35.0,97.2,101.8,-3.89
1997,23,PHI,22,60,.268,39.0,100.2,106.7,-5.89
1997,2,BOS,15,67,.183,46.0,100.6,107.9,-6.62
1997,5,CHI,69,13,.841,—,103.1,92.3,10.70
1997,1,ALT,56,26,.683,13.0,94.8,89.4,5.52
1997,9,DET,54,28,.659,15.0,94.2,88.9,5.45
1997,4,CHO,54,28,.659,15.0,98.9,97.0,2.13
1997,6,CLE,42,40,.512,27.0,87.5,85.6,2.32
1997,12,IND,39,43,.476,30.0,95.4,94.4,1.49
1997,17,MIL,33,49,.402,36.0,95.3,97.2,-1.38
1997,28,TOR,30,52,.366,39.0,95.5,98.6,-2.56
