TEAM,W,L,W/L%,GB,PS/G,PA/G,SRS
UTA,62,20,.756,—,101.0,94.4,5.73
SAS,56,26,.683,6.0,92.5,88.5,3.30
MIN,45,37,.549,17.0,101.1,100.4,0.17
HOU,41,41,.500,21.0,98.8,99.5,-1.23
DAL,20,62,.244,42.0,91.4,97.5,-6.33
VAN,19,63,.232,43.0,96.6,103.9,-7.47
DEN,11,71,.134,51.0,89.0,100.8,-11.74
SEA,61,21,.744,—,100.6,93.4,6.33
LAL,61,21,.744,—,105.5,97.8,6.88
PHO,56,26,.683,5.0,99.6,94.4,4.44
POR,46,36,.561,15.0,94.3,92.9,0.83
SAC,27,55,.329,34.0,93.1,98.7,-5.83
GSW,19,63,.232,42.0,88.3,97.4,-9.20
LAC,17,65,.207,44.0,95.9,103.3,-7.53
