SEASON,TEAM ID,TEAM,W,L,W/L%,GB,PS/G,PA/G,SRS
2015,28,TOR,49,33,.598,—,104.0,100.9,2.45
2015,2,BOS,40,42,.488,9.0,101.4,101.2,-0.40
2015,3,BRK,38,44,.463,11.0,98.0,100.9,-3.13
2015,23,PHI,18,64,.220,31.0,92.0,101.0,-9.04
2015,20,NYK,17,65,.207,32.0,91.9,101.2,-9.50
2015,6,CLE,53,29,.646,—,103.1,98.7,4.08
2015,5,CHI,50,32,.610,3.0,100.8,97.8,2.54
2015,17,MIL,41,41,.500,12.0,97.8,97.4,-0.09
2015,12,IND,38,44,.463,15.0,97.3,97.0,-0.23
2015,9,DET,32,50,.390,21.0,98.5,99.5,-1.39
2015,1,ALT,60,22,.732,—,102.5,97.1,4.75
2015,30,WAS,46,36,.561,14.0,98.5,97.8,0.17
2015,16,MIA,37,45,.451,23.0,94.7,97.3,-2.92
2015,4,CHO,33,49,.402,27.0,94.2,97.3,-3.44
2015,22,ORL,25,57,.305,35.0,95.7,101.4,-5.87
