TEAM,W,L,W/L%,GB,PS/G,PA/G,SRS
TOR,47,35,.573,—,99.5,98.5,0.61
NJN,41,41,.500,6.0,97.6,98.3,-1.00
PHI,35,47,.427,12.0,94.9,98.0,-3.26
NYK,33,49,.402,14.0,97.5,100.3,-3.06
BOS,24,58,.293,23.0,95.8,99.2,-3.70
DET,53,29,.646,—,96.0,91.8,3.69
CLE,50,32,.610,3.0,96.8,92.9,3.33
CHI,49,33,.598,4.0,98.8,93.8,4.52
IND,35,47,.427,18.0,95.6,98.0,-2.62
MIL,28,54,.341,25.0,99.7,104.0,-4.43
MIA,44,38,.537,—,94.6,95.5,-1.21
WAS,41,41,.500,3.0,104.3,104.9,-0.80
ORL,40,42,.488,4.0,94.8,94.0,0.35
CHA,33,49,.402,11.0,96.9,100.6,-3.97
ALT,30,52,.366,14.0,93.7,98.4,-4.86
