SEASON,TEAM ID,TEAM,W,L,W/L%,GB,PS/G,PA/G,SRS
2014,21,OKC,59,23,.720,—,106.2,99.8,6.66
2014,25,POR,54,28,.659,5.0,106.7,102.8,4.44
2014,18,MIN,40,42,.488,19.0,106.9,104.3,3.10
2014,8,DEN,36,46,.439,23.0,104.4,106.5,-1.40
2014,29,UTA,25,57,.305,34.0,95.0,102.2,-6.27
2014,13,LAC,57,25,.695,—,107.9,101.0,7.27
2014,10,GSW,51,31,.622,6.0,104.3,99.5,5.15
2014,24,PHO,48,34,.585,9.0,105.2,102.6,3.02
2014,26,SAC,28,54,.341,29.0,100.5,103.4,-2.08
2014,14,LAL,27,55,.329,30.0,103.0,109.2,-5.33
2014,27,SAS,62,20,.756,—,105.4,97.6,8.00
2014,11,HOU,54,28,.659,8.0,107.7,103.1,5.06
2014,15,MEM,50,32,.610,12.0,96.1,94.6,2.18
2014,7,DAL,49,33,.598,13.0,104.8,102.4,2.91
2014,19,NOP,34,48,.415,28.0,99.7,102.4,-1.98
