TEAM,W,L,W/L%,GB,PS/G,PA/G,SRS
UTA,55,27,.671,—,96.5,92.0,4.52
SAS,53,29,.646,2.0,96.2,90.2,5.92
MIN,50,32,.610,5.0,98.5,96.0,2.67
DAL,40,42,.488,15.0,101.4,102.0,-0.29
DEN,35,47,.427,20.0,99.0,101.1,-1.76
HOU,34,48,.415,21.0,99.5,100.3,-0.57
VAN,22,60,.268,33.0,93.9,99.5,-5.10
LAL,67,15,.817,—,100.8,92.3,8.41
POR,59,23,.720,8.0,97.5,91.0,6.36
PHO,53,29,.646,14.0,98.9,93.7,5.24
SEA,45,37,.549,22.0,99.1,98.1,1.17
SAC,44,38,.537,23.0,105.0,102.0,3.04
GSW,19,63,.232,48.0,95.5,103.8,-7.63
LAC,15,67,.183,52.0,92.0,103.5,-10.73
