TEAM,W,L,W/L%,GB,PS/G,PA/G,SRS
NJN,49,33,.598,—,95.4,90.1,4.42
PHI,48,34,.585,1.0,96.8,94.5,1.76
BOS,44,38,.537,5.0,92.7,93.1,-0.75
ORL,42,40,.512,7.0,98.5,98.4,-0.39
WAS,37,45,.451,12.0,91.5,92.5,-1.47
NYK,37,45,.451,12.0,95.9,97.2,-1.61
MIA,25,57,.305,24.0,85.6,90.6,-5.13
DET,50,32,.610,—,91.4,87.7,2.97
IND,48,34,.585,2.0,96.8,93.3,2.79
NOH,47,35,.573,3.0,93.9,91.8,1.52
MIL,42,40,.512,8.0,99.5,99.3,-0.24
ALT,35,47,.427,15.0,94.1,97.6,-3.87
CHI,30,52,.366,20.0,95.0,100.1,-5.31
TOR,24,58,.293,26.0,90.9,96.8,-6.10
CLE,17,65,.207,33.0,91.4,101.0,-9.59
