TEAM,W,L,W/L%,GB,PS/G,PA/G,SRS
SAS,58,24,.707,—,96.7,90.5,6.28
DAL,57,25,.695,1.0,105.2,101.0,4.41
MIN,50,32,.610,8.0,99.3,96.0,3.58
UTA,44,38,.537,14.0,96.0,95.1,1.21
HOU,28,54,.341,30.0,92.3,97.2,-4.31
DEN,27,55,.329,31.0,92.2,98.0,-5.19
MEM,23,59,.280,35.0,89.9,97.3,-6.74
SAC,61,21,.744,—,104.6,97.0,7.61
LAL,58,24,.707,3.0,101.3,94.1,7.15
POR,49,33,.598,12.0,96.6,93.7,3.21
SEA,45,37,.549,16.0,97.7,94.7,3.24
LAC,39,43,.476,22.0,95.7,96.1,-0.09
PHO,36,46,.439,25.0,95.1,95.8,-0.30
GSW,21,61,.256,40.0,97.7,103.1,-4.80
