SEASON,TEAM ID,TEAM,W,L,W/L%,GB,PS/G,PA/G,SRS
1985,8,DEN,52,30,.634,—,120.0,117.6,2.05
1985,11,HOU,48,34,.585,4.0,111.2,109.5,1.38
1985,7,DAL,44,38,.537,8.0,111.2,109.0,1.80
1985,29,UTA,41,41,.500,11.0,109.0,109.1,-0.33
1985,27,SAS,41,41,.500,11.0,114.8,113.9,0.63
1985,26,KCK,31,51,.378,21.0,114.8,117.5,-2.71
1985,14,LAL,62,20,.756,—,118.2,110.9,6.48
1985,25,POR,42,40,.512,20.0,115.5,112.1,2.80
1985,24,PHO,36,46,.439,26.0,108.0,110.1,-2.34
1985,21,SEA,31,51,.378,31.0,102.1,107.6,-5.44
1985,13,LAC,31,51,.378,31.0,107.1,111.6,-4.55
1985,10,GSW,22,60,.268,40.0,110.4,117.7,-7.21
