SEASON,TEAM ID,TEAM,W,L,W/L%,GB,PS/G,PA/G,SRS
2008,29,UTA,54,28,.659,—,106.2,99.3,6.86
2008,8,DEN,50,32,.610,4.0,110.7,107.0,3.74
2008,25,POR,41,41,.500,13.0,95.4,96.3,-0.52
2008,18,MIN,22,60,.268,32.0,95.6,102.4,-6.26
2008,21,SEA,20,62,.244,34.0,97.5,106.3,-8.04
2008,14,LAL,57,25,.695,—,108.6,101.3,7.34
2008,24,PHO,55,27,.671,2.0,110.1,105.0,5.14
2008,10,GSW,48,34,.585,9.0,111.0,108.8,2.38
2008,26,SAC,38,44,.463,19.0,102.5,104.8,-1.86
2008,13,LAC,23,59,.280,34.0,93.8,101.1,-6.56
2008,19,NOH,56,26,.683,—,100.9,95.6,5.46
2008,27,SAS,56,26,.683,—,95.4,90.6,5.10
2008,11,HOU,55,27,.671,1.0,96.7,92.0,4.83
2008,7,DAL,51,31,.622,5.0,100.4,95.9,4.70
2008,15,MEM,22,60,.268,34.0,100.7,106.9,-5.76
