TEAM,W,L,W/L%,GB,PS/G,PA/G,SRS
NYK,54,28,.659,—,100.0,95.7,3.73
BRK,49,33,.598,5.0,96.9,95.1,1.25
BOS,41,40,.506,12.5,96.5,96.7,-0.62
PHI,34,48,.415,20.0,93.2,96.5,-3.51
TOR,34,48,.415,20.0,97.2,98.7,-1.96
IND,49,32,.605,—,94.7,90.7,3.34
CHI,45,37,.549,4.5,93.2,92.9,-0.02
MIL,38,44,.463,11.5,98.9,100.4,-1.83
DET,29,53,.354,20.5,94.9,98.8,-4.33
CLE,24,58,.293,25.5,96.5,101.2,-4.87
MIA,66,16,.805,—,102.9,95.0,7.03
ALT,44,38,.537,22.0,98.0,97.5,-0.08
WAS,29,53,.354,37.0,93.2,95.8,-2.78
CHA,21,61,.256,45.0,93.4,102.7,-9.29
ORL,20,62,.244,46.0,94.1,101.1,-7.12
