Season,Age,Tm,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
1996,25.0,HOU,NBA,SF,6.0,47.0,4.1,0.368,0.6,0.2,0.0,23.1,11.1,3.3,1.1,0.0,10.9,17.8,,-0.1,0.0,-0.1,-0.122,,-4.7,-1.6,-6.3,0.0
1999,28.0,HOU,NBA,SF,4.0,123.0,13.1,0.55,0.684,0.447,0.9,7.2,4.1,9.5,1.7,0.0,9.9,18.5,,0.3,0.0,0.2,0.086,,0.9,-0.9,-0.1,0.1
