Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
1987,9,DET,Detroit Pistons,Isiah Thomas,25,15,15,562,11.9,26.4,0.45,0.9,2.9,0.3,11.0,23.5,0.47,7.4,9.8,0.76,1.9,4.1,6.0,11.6,3.5,0.4,3.7,4.5,32.1,,114,106
1987,9,DET,Detroit Pistons,Bill Laimbeer,29,15,15,543,7.7,15.0,0.52,0.1,0.5,0.2,7.7,14.6,0.52,1.4,2.2,0.62,2.8,11.6,14.4,3.4,1.4,1.1,1.8,4.9,17.0,,112,104
1987,9,DET,Detroit Pistons,Adrian Dantley,31,15,15,500,11.1,20.6,0.54,0.0,0.0,,11.1,20.6,0.54,8.6,11.1,0.78,2.9,3.9,6.8,3.5,1.3,0.0,3.3,3.6,30.8,,120,110
1987,9,DET,Detroit Pistons,Rick Mahorn,28,15,15,483,6.1,11.3,0.54,0.0,0.1,0.0,6.1,11.2,0.55,2.9,3.6,0.8,4.4,10.4,14.7,0.5,0.6,1.1,1.7,6.2,15.1,,121,106
1987,9,DET,Detroit Pistons,Joe Dumars,23,15,15,473,8.3,15.3,0.54,0.2,0.3,0.67,8.0,15.0,0.54,3.4,4.3,0.78,0.8,1.2,2.0,7.6,1.3,0.1,2.9,2.8,20.1,,117,112
1987,9,DET,Detroit Pistons,Vinnie Johnson,30,15,0,388,12.3,26.7,0.46,0.0,0.3,0.0,12.3,26.4,0.46,4.0,4.6,0.86,2.6,3.1,5.7,8.0,1.2,0.5,3.0,4.3,28.5,,110,111
1987,9,DET,Detroit Pistons,John Salley,22,15,0,311,5.3,10.6,0.5,0.0,0.0,,5.3,10.6,0.5,4.3,6.8,0.64,4.8,6.8,11.6,1.8,0.5,2.7,2.3,9.7,15.0,,114,107
1987,9,DET,Detroit Pistons,Dennis Rodman,25,15,0,245,8.2,15.1,0.54,0.0,0.0,,8.2,15.1,0.54,3.7,6.5,0.56,6.5,8.0,14.5,0.6,1.2,3.5,3.5,9.8,20.0,,108,104
1987,9,DET,Detroit Pistons,Sidney Green,26,9,0,42,7.1,11.9,0.6,0.0,0.0,,7.1,11.9,0.6,6.0,7.1,0.83,3.6,7.1,10.7,1.2,1.2,2.4,3.6,2.4,20.3,,119,106
1987,9,DET,Detroit Pistons,Kurt Nimphius,28,4,0,30,5.0,15.0,0.33,0.0,0.0,,5.0,15.0,0.33,3.3,6.7,0.5,8.3,8.3,16.7,0.0,0.0,3.3,5.0,16.7,13.3,,80,107
1987,9,DET,Detroit Pistons,Tony Campbell,24,4,0,13,11.6,23.1,0.5,3.9,3.9,1.0,7.7,19.3,0.4,7.7,7.7,1.0,0.0,19.3,19.3,0.0,0.0,0.0,0.0,3.9,34.7,,144,103
1987,9,DET,Detroit Pistons,Chuck Nevitt,27,3,0,10,5.0,25.0,0.2,0.0,0.0,,5.0,25.0,0.2,10.0,10.0,1.0,5.0,25.0,30.0,0.0,0.0,15.0,15.0,5.0,20.0,,56,85
