Season,Team ID,Player ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
1989,5,495,CHI,Charlotte Bobcats,24,Bill Cartwright,C,7-1,245,"July 30, 1957",US,8,San Francisco
1989,5,611,CHI,Charlotte Bobcats,40,Dave Corzine,C,6-11,250,"April 25, 1956",US,10,DePaul
1989,5,682,CHI,Charlotte Bobcats,22,Charles Davis,SF,6-7,215,"October 5, 1958",US,6,Vanderbilt
1989,5,1083,CHI,Charlotte Bobcats,54,Horace Grant,PF,6-10,215,"July 4, 1965",US,1,Clemson
1989,5,1149,CHI,Charlotte Bobcats,15,Jack Haley,PF,6-10,240,"January 27, 1964",US,R,UCLA
1989,5,1304,CHI,Charlotte Bobcats,14,Craig Hodges,SG,6-2,190,"June 27, 1960",US,6,Cal State Long Beach
1989,5,1523,CHI,Charlotte Bobcats,22,Anthony Jones,SG,6-6,195,"September 13, 1962",US,1,"Georgetown, UNLV"
1989,5,1567,CHI,Charlotte Bobcats,23,Michael Jordan,SG,6-6,198,"February 17, 1963",US,4,UNC
1989,5,2121,CHI,Charlotte Bobcats,45,Ed Nealy,PF,6-7,238,"February 19, 1960",US,5,Kansas State
1989,5,2265,CHI,Charlotte Bobcats,5,John Paxson,PG,6-2,185,"September 29, 1960",US,5,Notre Dame
1989,5,2282,CHI,Charlotte Bobcats,32,Will Perdue,C,7-0,240,"August 29, 1965",US,R,Vanderbilt
1989,5,2313,CHI,Charlotte Bobcats,33,Scottie Pippen,SF,6-8,210,"September 25, 1965",US,1,University of Central Arkansas
1989,5,2356,CHI,Charlotte Bobcats,12,Dominic Pressley,PG,6-2,170,"May 30, 1964",US,R,Boston College
1989,5,2594,CHI,Charlotte Bobcats,2,Brad Sellers,PF,7-0,210,"December 17, 1962",US,2,"Wisconsin, Ohio State"
1989,5,2973,CHI,Charlotte Bobcats,11,Sam Vincent,PG,6-2,185,"May 18, 1963",US,3,Michigan State
1989,5,3221,CHI,Charlotte Bobcats,34,David Wood,PF,6-9,227,"November 30, 1964",US,R,Nevada
